username,time,text,tags,latitude,longitude,location
@JarkasDina,3h,"اليويفا تجبر #يوفنتوس على تقديم تقرير طبي قبل اسبوع كامل على مباراتهم بالابطال يفيد بان #كريستيانو شفي من فيروس #كورونا
المباراة امام #برشلونة في 28-10 واصيب في 13-10
مدة الحجر 14 يوماً كاملاً لذلك بنسبة كبيرة ربما يتغيب عن القمة المنتظرة الا اذا تعافى باسبوع واحد","['#كريستيانو', '#يوفنتوس', '#كورونا', '#برشلونة']",33.894204,35.485805,Beirut
@AlMayadeenNews,3h,"نسبة الأميركيين الذين يؤيدون إدارة #ترامب لأزمة #كورونا
#الثلاثاء_الكبير
#الميادين 
#أميركا 
#بايدن
#USElections2020","['#ترامب', '#بايدن', '#USElections2020', '#أميركا', '#الثلاثاء_الكبير', '#كورونا', '#الميادين']",33.894204,35.485805,Beirut
@kataeb_Ar,4h,إعلام روسي: #بوتين يعلن عن تسجيل لقاح ثان ضد #كورونا,"['#كورونا', '#بوتين']",33.894204,35.485805,Beirut
@AnbaaOnline,4h,إعلام روسي: بوتين يعلن عن تسجيل لقاح ثان ضد كورونا,[],33.894204,35.485805,Beirut
@Mustaqbalweblb,4h,"بوتين يعلن عن تسجيل لقاح ثان ضد ""كورونا""",[],33.894204,35.485805,Beirut
@AliwaaNewspaper,4h,إعلام روسي: بوتين يعلن عن تسجيل لقاح ثان ضد كورونا,[],33.894204,35.485805,Beirut
@Lebanon24,4h,"بوتين يعلن تسجيل لقاح ثان ضد كورونا ويقول إن اللقاح الثالث في طريقه إلى التسجيل (سبوتنيك)
#lebanon24",['#lebanon24'],33.894204,35.485805,Beirut
@AUBMC_Official,5h,"(2/4)- AUB is leading this national effort to ensure that more hospitals across Lebanon are well prepared to receive and care for COVID-19 patients.

AUB will ensure training and delivery of PPE to the designated partner hospitals.",[],33.894204,35.485805,Beirut
@kataeb_Ar,5h,"الصحة #السعودية تعلن تسجيل 501 إصابة جديدة بفيروس #كورونا، و481 حالة تعافي خلال الـ 24 ساعة الماضية، و5,108 إجمالي الوفيات","['#كورونا', '#السعودية']",33.894204,35.485805,Beirut
@MinistryInfoLB,5h,- بوتين يعلن تسجيل لقاح روسي ثان ضد فيروس كورونا,[],33.894204,35.485805,Beirut
@MohamedmFawaz,5h,"قوى الأمن: التزموا لأنّ ""خطر كورونا ما راح!""
حضّت قوى الأمن الداخلي، المواطنين، على إلتزام الإجراءات الوقائيّة للحدّ من تفشّي كورونا في البلاد.
وقالت عبر ""تويتر"": ""خليك بعيد بشغلك، ببيئتك، ووين ما كنت! حافظ على التباعد الإجتماعي والتزم بوضع الكمامة لأنو خطر كورونا ما راح!"".",[],33.894204,35.485805,Beirut
@BeirutCalling,5h,"Replying to 
@RoyAllam1
 and 
@petra_khoury",[],33.894204,35.485805,Beirut
