username,time,text,tags,locations
Nisi,Sep 1,my mom coughed once and now she's convinced she has corona,[],
مختار غزّاوي,Sep 1,"Replying to 
@LinaBizri",[],
hayasabbagh,Sep 1,"@popeyes_es
  very yummy and i reccomend this meal 
 w thanks popeyes for delivering during corona",[],
Hanaa Itani,Sep 1,"Saying you have corona virus isnt wrong, it shouldnt be a taboo nor 3ayb. Whats wrong is denying it and continuing your life like normal and putting other people at risk ",[],
Carmen Geha,Sep 1,"President #Macron is at Rafik Hariri hospital saluting the medical heroes attending to #corona in the midst of financial collapse & electricity cuts. In Khalde, armed men are shooting cos of some poster or picture. No we are not cursed, we just need to oust them 
@firassabiad","['#corona', '#Macron']",
khalid,Sep 1,"Replying to 
@Ladylarakay",[],
AUBMC,Sep 1,"#COVID19 daily figures tested at AUBMC. #coronavirus

To know more about #corona virus, go to http://bit.ly/AUBMCcovid","['#coronavirus', '#corona', '#COVID19']",
JoeZakhour جوزف زخور,Sep 1,على غرار المصارف بدأت شركات التأمين في لبنان تنشر ميزانيتها لسنة ٢٠١٩ متأخرة ٣ اشهر بسبب الأقفال المتقطع والناجم الانتفاضة اولا ثم وباء Corona. ولا يبدو أنها خصصت اي احتياط لعمليات نهب الأسواق  واحراق المصارف في لبنان اَو الخساءر الناتجة عن إعادة هيكلة سنادات الخزبنةالتي تحمَلها,[],
Herman van Uum,Sep 1,"Replying to 
@Sandra_Eff_
 and 
@ZakiaDimassiMD",[],
Toni Bayeh طوني البايع,Sep 1,"طوني البايع: تعلمت الكثير من السيدة #فيروز لما كنت عضو في جوقتها - يوم زيارة الرئيس الفرنسي #ماكرون 
#macron #emanuelmacron 
#corona #macron #france #fairouz #feirouz 
@cheri3elfan
#فرنسا #كلن_يعني_كلن
 #كلن_يعني_كلن #فيروزيات #فيروز
#انفجار_المرفأ #انفجار_بيروت 
#لبنان","['#france', '#فيروز', '#emanuelmacron', '#فرنسا', '#فيروزيات', '#corona', '#feirouz', '#كلن_يعني_كلن', '#انفجار_بيروت', '#لبنان', '#ماكرون', '#انفجار_المرفأ', '#fairouz', '#macron']",
Alfred.aramouni,Sep 1,"Replying to 
@FpmOf
 and 
@GinoRaidy",[],
Lynn Assaf,Sep 1,"Replying to 
@M00KhT4AR",[],
Jacket,Sep 1,"Replying to 
@helloitsnaii",[],
Glorified,Aug 31,"Replying to 
@tLebBucket",[],
Elie Hosny,Aug 31,"Replying to 
@LBCI_NEWS",[],
,Aug 31,It’s CORONA TIME ,[],
Toni Bayeh طوني البايع,Aug 31,"نصائح عامة للرئيس #ماكرون قبل لقائه السلطات الفاسدة في #لبنان #لبنان_ينتفض
#corona #macron #france #fairouz #feirouz 
#فرنسا #كلن_يعني_كلن
 #كلن_يعني_كلن #فيروزيات #فيروز  
@EmmanuelMacron
 
#مصطفي_أديب #بيروت_في_قلوبنا #بيروت #لبنان_الكبير_بكبيرنا #ماكرون_في_بيروت #ماكرون","['#لبنان_الكبير_بكبيرنا', '#france', '#فيروز', '#بيروت', '#ماكرون_في_بيروت', '#فرنسا', '#فيروزيات', '#مصطفي_أديب', '#corona', '#feirouz', '#كلن_يعني_كلن', '#لبنان_ينتفض', '#بيروت_في_قلوبنا', '#لبنان', '#ماكرون', '#fairouz', '#macron']",
Insan Association,Aug 31,"Smile to the world it will smile back to you

#icanseeyoursmile #smileunderthemask #smile
 #campaign #NGO #coronavirus #COVID #corona #nonprofit #change #health #impact #stayhome
 #quarantine #lockdown #staysafe #wearamask #socialdistancing #virus #stayathome
 #pandamic #lebanon","['#COVID', '#pandamic', '#smile', '#icanseeyoursmile', '#impact', '#health', '#corona', '#staysafe', '#stayhome', '#nonprofit', '#socialdistancing', '#wearamask', '#NGO', '#lebanon', '#campaign', '#quarantine', '#change', '#stayathome', '#virus', '#lockdown', '#coronavirus', '#smileunderthemask']",
Jacket,Aug 31,I have a sense a*un will catch Corona today,[],
Ziad Marcos,Aug 31,"COVID-19 a Myth Vs Fact sometimes I wonder if corona was created to speed up the process of moving rapidly to the digital online world, technologies cryptocurrency online shopping & working from home, our life before COVID-19 isnt going to be the same after, adapt & move forward.",[],
لانه,Aug 31,"Replying to 
@HadyKassem_",[],
steve,Aug 30,"Is it only me aw fi hada bas yshuf hek suwar, hata law iza adime, betzakar corona",[],
R 9¾,Aug 30,yes lu refused to do online exams and kept postponing them bc of corona,[],
lynn,Aug 30,"Replying to 
@NotMhmadd",[],
Rabih Yaghi,Aug 29,"@LFC
 where is thiago???? Stop spreading belief via klopp that corona hit only lfc. All clubs have same problem and still working great. We need a back up for salah/mane i.e. Sarr, we need thiago that can take lfc to higher level and a good defence that suit as a 3rd option.#save",['#save'],
Léon,Aug 29,Apparently there’s no economic crisis and no fear of corona in faraya..,[],
Sar,Aug 29,"Replying to 
@Medawar_",[],
Beirut,Aug 29,"Replying to 
@pixels87275316
 @Lebnenihor1
 and 
@Imane_Hajjar",[],
Gbelaur,Aug 29,"Replying to 
@ts8track5_",[],
Rabih Zaraket,Aug 29,"Replying to 
@MMas2ool",[],
Lost in Reality,Aug 29,"Replying to 
@mohsenmkd",[],
,Aug 29,"Replying to 
@yrjYara",[],
Mount The Gallows For Ralph and JoeⓋ,Aug 29,IT IS NOT MY FAULT WE HAD CORONA AND U MESSED UP THE BLOODY SCHEDULE AT THE BEGINNING OF THE SEMESTER,[],
يلعنكن واحد واحد,Aug 29,18 new corona cases at Batroun in 24 hours ,[],
ayman shehadi,Aug 28,"#Corona #work 
@ElnashraNews","['#Corona', '#work']",
sergio,Aug 27,Please 7otto Kemmemeh ento w 3am t2awso 3a ba3ed #El_Corona_Mesh_le3beh,['#El_Corona_Mesh_le3beh'],
basic ghiwa,Aug 27,"Therapist: start doing the breathing exercises 
Me: *gets corona*",[],
بَيْرُوتْ,Aug 27,"Replying to 
@krigormortis
 and 
@DavidAhmadMoh",[],
davinder dhillon,Aug 27,"@imVkohli
 nu bc corona krke cricket toh ki chutti mili hor hi passe 100 jadhta 
  
Congratulations 
@imVkohli
 and 
@AnushkaSharma
 ",[],
Gbelaur,Aug 27,"Replying to 
@Allahyekhdne",[],
Maiia hatem,Aug 26,"Replying to 
@snowye29",[],
Karim,Aug 26, what got extended till the end of the year is the safety measures concerning corona (masks and social distancing) and NOT the current lockdown (curfew 6pm),[],
KARAM PETER,Aug 26,"Replying to 
@notrexic
 and 
@jimzzle",[],
Justsica,Aug 25,"Replying to 
@krnnsr",[],
elie aoun,Aug 25,"Replying to 
@AdelBazzi0",[],
CAK21ن,Aug 25,"We could have ended corona in lebanon a few month ago, if it wasn’t for a few dumb people traveling back",[],
Mariam,Aug 25,"يا رفقاتي المغردين مرحبا 
لا تنسوا انو بعدكن عايشين ضمن رحمة الله سبحانه
اوعوا تستهتروا virus corona 
الفيروس كم ينتشر بسرعة و نحن سكان الكرة الأرضية ضجرنا وزهقنا ومن هول الناس حابسي حالي وعم بتجنب حنى نسمة الهوا ما تكون ملوسة
سنة وسنتين بلأكثر إذا بقينا بلدنيا احذروا 19
Mariam",[],
Khaled,Aug 25,"Replying to 
@Joneaimeh",[],
