location,lat,long,sentiment
الخواخ,34.4664,36.3908,0.16666666666666666
الداعوق,34.1356,35.8522,-0.01193404634581105
الدامور,33.73,35.4564,0.1764287253545066
الدبش,33.1914,35.4075,-0.13125
الدبوس,33.3956,35.7278,0.15552083333333333
الدبية,33.665,35.4878,0.11840277777777777
الدغالة,34.1822,35.8833,-0.18225549768518517
الدغلة,34.5814,36.21,0.0
الدقار,34.2308,35.6592,0.005597818006908912
الدقارين,34.0361,35.6286,-0.06666666666666667
الدكرمانة,33.5617,35.3769,0.022264530812324924
الدكوة,33.6917,35.8761,0.0426372493083486
الدلاشة,33.4069,35.5589,0.052722148068526445
الدمشقية,33.375,35.5469,0.0
الدنيبة,34.21,36.3272,-0.3583333333333333
الدواوير,34.2003,35.7303,0.21035714285714285
الدوقة,34.1325,35.655,0.0818452380952381
الدوير,33.3903,35.4177,0.09305555555555556
الديمان,34.2467,35.9525,0.10833333333333339
الرؤوس,33.5422,35.3917,0.06747438672438673
الرافد,33.5719,35.8169,0.18482804232804229
الرام,34.1847,35.7997,0.05446467223252938
الراموط,34.1672,35.7119,0.006665414061247389
الرامية,34.0203,35.6322,0.005985024938829298
الربطية,33.5597,35.3828,0.2928571428571428
الرجوم,33.1256,35.2389,0.21458333333333335
الرقايف,33.8936,35.7933,0.2
الرماح,34.6231,36.265,-0.06666666666666664
الرمانة,33.7193,35.4866,0.0
الرمطانية,33.8361,35.8239,0.09842261904761904
الرمول,34.4331,35.8175,0.07731575133308531
الرميل,33.8957,35.5168,0.7
الرميلة,34.1189,35.7833,0.0
الرنجة,33.1092,35.1592,0.85
الرنسية,34.5308,36.0261,0.0625
الروائس,33.4083,35.3136,0.08557619701921172
الروضة,34.4473,35.9794,0.18333333333333326
الروماني,33.5106,35.5542,0.02878787878787879
الرويمة,34.5194,36.3164,0.08333333333333334
الريحانة,34.166,35.6409,0.31818181818181823
الزاروب,33.5756,35.8144,0.07365319865319865
الزاير,34.0711,35.6586,0.08761282672504264
الزرازير,34.1519,36.1242,0.05037878787878788
الزراقي,34.3517,35.8942,-0.057407407407407414
الزعرورية,33.6147,35.5197,-0.026666666666666672
الزعيتره,34.0695,35.6947,0.0
الزفات,33.4422,35.5839,0.062345987345987335
الزلقا,33.8961,35.5764,0.15
الزموقة,33.9678,35.7056,0.04024486682299183
الزيرة,34.2389,36.3483,0.03409090909090909
السرجي,34.1642,35.7111,-0.0925595238095238
السرعونية,33.5783,35.4372,-0.3333333333333333
السرور,33.2131,35.4614,0.14722222222222223
السريري,33.4367,35.6264,-0.10000000000000002
السطوح,34.2633,35.6639,0.0
السعديات,33.6889,35.4253,-0.006925019425019419
السفنتة,33.5392,35.3969,0.01666666666666668
السفي,33.7406,35.6839,0.21104166666666666
السقي,34.1036,35.7586,0.028373015873015862
السلطانة,33.3986,35.6278,0.07509820426487093
السليخ,34.0194,35.7853,0.13518293251181973
السماعية,33.2205,35.2362,0.07861566190328945
السماقية,34.6394,36.0036,-0.08849116161616163
السمقانية,33.6797,35.5867,0.125
السنسلة,34.2689,36.3531,0.053995941558441556
السويدية,33.3417,35.6528,-0.008333333333333331
السياحة,33.1794,35.2092,0.05244507575757576
السيار,33.8907,35.4828,0.1283313656040929
السيد,34.5064,36.0911,0.09515476190476191
السيرة,34.2186,35.8458,0.07387006512006514
السيفري,33.9214,36.0786,-0.027579201101928373
السيوفي,33.8841,35.5269,0.034987745098039195
الشامات,33.3842,35.7164,0.13667849126182458
الشبانية,33.8211,35.7069,0.3416666666666666
الشبوق,33.9533,35.7547,0.25
الشحار,33.8225,35.5847,-0.075
الشحال,34.0792,35.6822,0.11515841450216449
الشخروب,33.9461,35.8322,0.425
الشربينة,34.1178,35.8597,0.0623076923076923
الشرقية,33.3997,35.4181,0.1640909090909091
الشرونة,34.0125,36.2069,0.02041666666666667
الشريد,33.8369,35.7339,0.0
الشريفة,34.5003,36.1494,0.028594619666048236
الشطحان,33.4122,35.5639,0.12211177268718938
الشعب,34.0467,35.6489,0.03172387069040616
الشعيتية,33.1969,35.2653,0.0
الشقاف,33.9683,35.6842,-0.5
الشلقة,34.0922,35.8906,-0.08838888888888888
الشميسات,34.1692,35.7775,0.06852678571428572
الشنة,33.5394,35.3786,0.048214285714285716
الشهابية,33.2431,35.3819,0.13333333333333333
الشواكير,33.2553,35.2153,0.24287471064814814
الشواليق,33.555,35.4393,0.07348484848484849
الشوم,34.0397,35.7061,0.09332664168207756
الشوية,34.0656,35.7237,0.04382496816860346
الشيمة,33.8561,35.5558,0.09156392797017797
الصار,34.0714,35.6469,0.11875
الصالحاني,33.1289,35.3035,-0.046875
الصالومي,33.8794,35.5411,0.3416666666666667
الصحاري,33.4394,35.5619,-0.015496238425925938
الصحصاحية,33.3389,35.55,0.13537037037037036
الصفرا,34.0371,35.6408,-0.02035716938290468
الصفيرة,34.4003,36.0481,-0.11249999999999999
الصلع,33.1717,35.4639,-0.19479166666666667
الصليب,33.2914,35.6396,0.03197871572871574
الصميطات,34.6539,36.3494,0.09282421624478913
الصنائع,33.8928,35.4902,0.18452380952380953
الصنوبرة,33.8925,35.4836,0.1814814814814815
الصوانة,33.6371,35.4256,-0.053571428571428575
الضاهر,34.4864,36.1903,0.050925925925925944
الضهور,33.455,35.5117,0.07500000000000001
الضهيرة,33.1003,35.2275,0.11156462585034013
الطاروع,34.1469,35.7092,0.05991512345679012
الطبشة,33.9264,35.7386,-0.14029947916666666
الطراش,33.3992,35.5756,0.0
الطواريع,33.9733,35.7417,0.0
الطيري,33.1415,35.4055,0.1619047619047619
الطيونة,33.1928,35.3933,0.1013888888888889
الظريف,33.8908,35.4928,-0.3333333333333333
العاملية,33.8831,35.5061,-0.020000000000000007
العبدة,34.5169,35.9683,0.0
العبديني,33.9294,35.6019,-0.075
العبرة,34.0761,35.7842,0.0
العتيقة,33.7078,35.4571,0.5
العدسة,34.0714,35.6831,0.0
العدوسية,33.4714,35.3447,-0.23333333333333334
العذر,33.9781,35.7808,0.15011480217086837
