MOHAFAZA_ID,MOHAFAZA_AR,MOHAFAZA_EN,sentiment
1,عكار,Akkar,0.150961953781351
2,بعلبك - هرمل,Baalbak - Hermel,0.05694084941146389
3,بيروت,Beirut,0.06322908601134328
4,البقاع,Bekaa,0.06864415541306752
5,جبل لبنان,Mount Lebanon,0.07111914770437261
6,نبطية,Nabatiyeh,0.07020860157237302
7,الشمال,North,0.06365618636529527
8,الجنوب,South,0.06638999928192722
