year,month,MOHAFAZA_ID,MOHAFAZA_AR,MOHAFAZA_EN,topics,sentiment,sentiment_label
2020,7,4,البقاع,Bekaa,"['#كورونا #لبنان', 'واقع خطير', 'ستتحمّل المسؤولية', 'الحكومة الجديدة', '#كورونا #لبنان_ينتقض']",0.06718848841954903,Positive
2020,7,5,جبل لبنان,Mount Lebanon,"['#كورونا #لبنان', 'Legalize Medical Marijuana', 'Syrian refugee', 'إصابة جديدة']",0.058051918461900824,Positive
2020,7,6,نبطية,Nabatiyeh,"['فيروس كورونا', 'التقرير اليومي']",0.06673152410302903,Positive
2020,7,7,الشمال,North,"['بفيروس كورونا', '#كورونا #لبنان', 'وزارة الصحة', 'إصابة جديدة', 'من المقيمين والوافدين']",0.06257209519466583,Positive
2020,7,8,الجنوب,South,"['إصابة جديدة', 'فيروس #كورونا', 'وزارة الصحة', 'مشكلة كورونا']",0.05432626822919739,Positive
2020,8,1,عكار,Akkar,"['الالتزام عندك', '#كورونا #لا_للتجمعات #لبنان']",0.061236979166666664,Positive
2020,8,2,بعلبك - هرمل,Baalbak - Hermel,"['#كورونا_لبنان_سبسيال', '#COVID19 #Lebanon', 'فيروس كورونا', 'سجل اعلى رقم', 'اصابات جديدة', 'حالات وفاة']",0.05763636363636364,Positive
2020,8,3,بيروت,Beirut,"['#كورونا #لبنان', 'فيروس كورونا', 'اصابة جديدة', 'حالات وفاة']",0.08808826905417814,Positive
2020,8,4,البقاع,Bekaa,"['detection dogs', 'النظام الصحي']",-0.028980461502782943,Negative
2020,8,5,جبل لبنان,Mount Lebanon,"['#كورونا #لبنان', 'فيروس كورونا', '#Covid_19 #كورونا', 'حالة وفاة', 'إصابة جديدة', 'التباعد الاجتماعي', '#لا_للتجمعات #لبنان']",0.012790275200989486,Positive
2020,8,6,نبطية,Nabatiyeh,"['#الدولار ٨٠٠٠', 'الأموال المنهوبة', 'الإستقالة', '#لبنان #كورونا', '#كرمالك_يا_وطن #ان_الثورة_تولد_من_رحم_الأحزان', 'إغلاق المطار']",-0.027805397727272727,Negative
2020,8,7,الشمال,North,"['#Covid_19 #لبنان_يحتضر', 'تتحدى جائحة كورونا', 'أطفال زحلة المقيمين', '#لبنان #لبنان_ينهار', '#لبنان_يحتضر #لبنان #لبنان_ينهار', 'الحجر', 'استهتار', 'يخاف يعلن إصابتو', 'منظمة الصحة']",-0.002252158865440107,Negative
2020,8,8,الجنوب,South,"['#كورونا_لبنان', 'شعب بلا مخ', 'الوباء', 'وزير الصحه', 'الجسم الطبي', 'يحكي مع حيطان']",0.05444444444444444,Positive
