username,user_link,location,lat,long,sentiment
A.AYOUB ابو حسن,https://twitter.com/ayoubalii,الحصيانة,33.5819,35.7028,0.0
A.N,https://twitter.com/AN1979AN,بريح,34.0961,35.6545,0.16666666666666666
A.ayoub,https://twitter.com/Abedelhussein,مار شينا,34.2239,35.735,-0.031249999999999997
A7MAD,https://twitter.com/ahmadhamze,الجعر,34.5689,36.0958,-0.25
"A7med,TT",https://twitter.com/A7_1993T,بيروت,33.8719,35.5097,0.0
AB,https://twitter.com/abeer84325631,ممنع,34.5014,36.1775,0.1476325757575757
ABBAS,https://twitter.com/abbas5208,حالات,34.0828,35.6541,0.04642857142857142
ABD,https://twitter.com/TheAbdohABD,الهمي,33.9175,35.7147,0.2090909090909091
ABDALLA DALAL,https://twitter.com/abdulah_dalal,بيروت,33.8719,35.5097,0.0
ABO HADI,https://twitter.com/abohadi77777,معلية,33.2039,35.2372,0.2571428571428571
ABOU MAHDI™,https://twitter.com/ZOULFIKAROOF,المسار,34.2597,35.9603,0.2333333333333333
ABOUELEZZ Nizar,https://twitter.com/nizarabouelezz,قرطبا,34.095,35.8478,0.0388771645021645
ABOU_ALI_Serhan,https://twitter.com/ABOU_ALI38,رامات,34.2183,35.7164,-0.1
ACOSMOS,https://twitter.com/CharbellAsmar,بيروت,33.8719,35.5097,0.0798800505050505
ACTIVE NEWS,https://twitter.com/ACTIVENEWS17,الوردية,33.8972,35.4858,0.06818181818181818
AGUST D2 IS A MASTERPIECE,https://twitter.com/btskeepslaying,عاريا,33.8308,35.5894,0.175
AL-Sahab .... الـسَـحـاب,https://twitter.com/sahabnews2,عين الصالحية,34.0761,35.713,0.275
ALA'A AL-REFAI,https://twitter.com/AlaaAhmedRefai,ولا,34.535,36.1814,0.246875
ALAA 〈 〉 علاء,https://twitter.com/alaakabalan,ايا,34.2403,35.7822,0.18861607142857142
ALBATROUNIYYE,https://twitter.com/albatrouniyye,الهلالية,33.5654,35.3947,0.0
ALI AL ali,https://twitter.com/ALIALal16327781,الرام,34.1847,35.7997,0.004586038961038939
ALI Al Sadoon,https://twitter.com/F3Bro,مراح عقبة,33.1729,35.2104,0.0
ALI ISK,https://twitter.com/alimisk,الجعيلة,33.9847,35.7092,0.4
ALI REDA,https://twitter.com/RedaaStark,بيروت,33.8719,35.5097,0.0
ALI SHAIKHOUN,https://twitter.com/AliShaikhounn,يات,33.8606,35.5656,0.04414062499999999
ALIKLAKKIS,https://twitter.com/ALIKLAKKIS1,المجدل,34.1061,35.9022,-0.05
ALTEKRITI,https://twitter.com/ALTEKRITI1,بيروت,33.8719,35.5097,0.0
ALi Şafak,https://twitter.com/Alooshshafak89,الشامات,33.3842,35.7164,0.4
AMA,https://twitter.com/Anostazia,المتمورة,33.1073,35.2176,0.15535714285714286
AMEEN,https://twitter.com/Ameen_media,قنات,34.2533,35.8944,0.07681251288394145
ANADOLU AGENCY (AR),https://twitter.com/aa_arabic,بدبا,34.3472,35.8202,0.04019480519480519
ANDRE AKL,https://twitter.com/ANDREAKL5,الا,33.8431,35.7333,0.01762772817460318
ANTONIOS CHEDID,https://twitter.com/ANTONIOSCHEDID,لاي,33.8533,35.5239,0.13333333333333336
ARAB LOVE ISRAEL عرب يعشقو أسرائيل,https://twitter.com/E6E27176549,عين الصالحية,34.0761,35.713,0.2340909090909091
ART-HUM-ONIE,https://twitter.com/AbelHammoud,سيل,33.7842,35.4872,0.0
AYOUB -,https://twitter.com/AYoUB31192,فيع,34.3484,35.7883,0.13636363636363635
A_AlEssa,https://twitter.com/A_Al_EssaA,الغماق,34.1403,35.6364,0.21742424242424238
AbOu ALi,https://twitter.com/AbOuALi255,المملحة,33.3897,35.7169,0.0
Abbas,https://twitter.com/I00I0III,المغار,33.4064,35.3245,-0.009374999999999994
Abbas Daher,https://twitter.com/abbas_daher,الا,33.8431,35.7333,0.04010416666666667
Abbas Haidar,https://twitter.com/Haidar__abbas,بقرتا,34.1286,35.7983,-0.14285714285714285
Abbas Hazimeh,https://twitter.com/AbbasHazimeh1,الشعب,34.0467,35.6489,0.14375
Abbas Ismail,https://twitter.com/AbbasIsmail99,بيروت,33.8719,35.5097,0.0
Abbas Khanafer,https://twitter.com/Abbas22250419,الهري,34.3067,35.7133,0.0
Abbas Krisht,https://twitter.com/AbbasKrisht,السماعية,33.2205,35.2362,-0.020833333333333332
Abbas Merhi,https://twitter.com/Abbassmerhi,الأطلبة,34.2689,35.8892,-0.4
Abbas Shoker,https://twitter.com/abbasshoker,بيروت,33.8719,35.5097,0.0
Abbas ghanem,https://twitter.com/Abbasghanem4,شوكين,33.3558,35.4619,0.10666666666666667
Abbascheaib,https://twitter.com/Abbascheaib1,بيروت,33.8719,35.5097,0.0
Abbass G Sheet,https://twitter.com/abbass_sheet,بيروت,33.8719,35.5097,0.0
Abbass mekkawee,https://twitter.com/Abbassmekkawee,حاقل,34.1705,35.7501,0.24545454545454545
Abbassnourdeen,https://twitter.com/Abbassnourdeen1,الشعب,34.0467,35.6489,0.14288504088504086
Abbood Abbas,https://twitter.com/abbood_abbas,بيروت,33.8719,35.5097,0.0
Abd El Rahman,https://twitter.com/MAIS_Abdrahman,الشوم,34.0397,35.7061,0.4
Abdalla,https://twitter.com/a048277,بيروت,33.8719,35.5097,0.0
Abdalla Al Bazi,https://twitter.com/Abdalla_Albazi,رامات,34.2183,35.7164,-0.2916666666666667
Abdallah Jeha,https://twitter.com/ahjeha,النشبة,33.4153,35.7472,0.02875
Abdallah S. Hayek,https://twitter.com/ahayek2000,الوزاني,33.2756,35.6228,-0.02708333333333333
"Abdallah Shaaban, PhD, SE",https://twitter.com/Beirutwbass,قرصا,34.0509,35.6856,0.5
Abdallah Zein,https://twitter.com/Abdallah_Z99,كين,33.7956,35.5731,0.0
Abdallah Zeytoun,https://twitter.com/abdallahzeytoun,الفراديس,34.2775,35.9341,0.0
Abdallah alwan,https://twitter.com/AbdallahAlwan,صباحية,33.82,35.5472,0.21736111111111112
Abdallahbaroudi,https://twitter.com/Abdallahbaroudy,حسانية,33.52,35.4508,0.3
Abdellatif Hakawati,https://twitter.com/AboudiHakawati,بيروت,33.8719,35.5097,-0.04999999999999999
Abdelrahimelmouhamad,https://twitter.com/abdelrahim005,الا,33.8431,35.7333,0.675
Abdelrahman Obeid,https://twitter.com/ObeidObeid,المنقلبة,33.9533,35.7358,0.3333333333333333
Abdo Bou Daher,https://twitter.com/abdoboudaher74,العزيبة,33.1364,35.3286,0.13636363636363635
Abdo I. Abdallah,https://twitter.com/_abdoabdallah,السقي,34.1036,35.7586,0.315
Abdo Saad - عبدو سعد,https://twitter.com/abdoksaad,انة,34.3464,36.4833,0.10714285714285714
Abdoul Ammar,https://twitter.com/AbdoulAmmar1,بيروت,33.8719,35.5097,0.7
Abdul Aziz,https://twitter.com/AbdulAz93210178,القصيفية,33.8889,35.7764,0.0
AbdulMajid3,https://twitter.com/Majid3Abdul,حسن,33.4597,35.8333,0.3135204081632653
AbdulRahman Dernayka,https://twitter.com/AbdeilRahmann,بيروت,33.8719,35.5097,0.125
AbdulRahman | عبدالرحمن,https://twitter.com/Sanhat_2016,فيع,34.3484,35.7883,0.0
Abdulallah Abu-Khalid,https://twitter.com/abdkalid1996,بيروت,33.8719,35.5097,0.0
Abdullah Asfour,https://twitter.com/AbdullahAsfour9,الا,33.8431,35.7333,0.1875
Abdullah Kamal,https://twitter.com/ABDU_ALLAH_K,رامات,34.2183,35.7164,0.5
Abdullah Malaeb,https://twitter.com/AbdullahMalaeb,حسانية,33.52,35.4508,-0.2347222222222222
Abdullah Zaher,https://twitter.com/AbdullahZaher3,طر,33.1542,35.3303,0.25
Abdullah ghanem,https://twitter.com/AAboodyg,ارو,33.8753,35.5167,0.11607142857142858
Abdullah||سلامة,https://twitter.com/Abdallahsala99,بقرتا,34.1286,35.7983,0.125
Abed Baroudy,https://twitter.com/BaroudyO,لوسي,33.6453,35.8383,0.0
Abed Bohsali,https://twitter.com/BohsaliAbed,شرنية,33.2708,35.2529,0.32142857142857145
Abed El Rahman HASSOUN,https://twitter.com/AbedHassoun,عليتا,34.0914,35.6892,0.06595117845117845
Abed Hajj Chehadeh,https://twitter.com/abedc44,حسانية,33.52,35.4508,0.0
Abed Kataya,https://twitter.com/kataya_abd,معلية,33.2039,35.2372,-0.25
Abed Moghrabi,https://twitter.com/MoghrabiAbed01,فيع,34.3484,35.7883,0.29166666666666663
Abed Tabaja,https://twitter.com/abed_tabaja,الشوم,34.0397,35.7061,0.0
Abeer,https://twitter.com/abeernassser,الرامية,34.0203,35.6322,0.09472943722943722
Abeer Haddad,https://twitter.com/abeerhaddad,ثم,34.2118,35.6573,-0.375
Abeer Shreif,https://twitter.com/AbeerShreif,المحيدثة,33.9167,35.6833,0.0
Abeer's photography,https://twitter.com/AbeerDarwiche,عين الصالحية,34.0761,35.713,-0.1708333333333333
Abir,https://twitter.com/Abir_h1,بدبا,34.3472,35.8202,-0.3333333333333333
Abir Barakat,https://twitter.com/AbirBarakat6,رومية,34.1753,35.6647,0.3686305014430014
Abir Hammoud,https://twitter.com/abir_layla,عين الصالحية,34.0761,35.713,0.25
Abir Nadim Nasrallah,https://twitter.com/AbirNasrallah,عين الصالحية,34.0761,35.713,0.06818181818181818
Abir Sawan,https://twitter.com/AbirSawan,لاي,33.8533,35.5239,0.0
Abir Sleimane,https://twitter.com/Abiirsleiman,ديتا,34.3906,36.3797,0.0
Abir Zebiane,https://twitter.com/abirzebiane,بيروت,33.8719,35.5097,0.0
Ablah M عبلة مُرشد,https://twitter.com/ablahmurshid,بيروت,33.8719,35.5097,0.0
Abo Ali,https://twitter.com/AboAlioooo,حاقل,34.1705,35.7501,0.0
Abo Ali Rida,https://twitter.com/Jad0000000,بيروت,33.8719,35.5097,0.0
Abo Ameer,https://twitter.com/AboAmee82600142,الميناء,34.4511,35.8142,0.2857142857142857
Abo Essam,https://twitter.com/mohammad3essam,رامات,34.2183,35.7164,0.06666666666666665
Abo Firas,https://twitter.com/abofiras961,عين الصالحية,34.0761,35.713,0.0
Abo Hadi,https://twitter.com/m_fakih,عين الصالحية,34.0761,35.713,0.27765955687830685
Abo ali rida,https://twitter.com/Aboalirida2017,جبلي,33.6133,35.6097,-0.05
Abo youssef,https://twitter.com/aboyoussef1902,بشوات,34.1503,36.1347,0.5
Abo_hassan_ZD,https://twitter.com/AbohassanZD1,الغابري,33.5403,35.6753,-0.1
Abobakr Salem,https://twitter.com/yTSlonocv3IWSVi,بيروت,33.8719,35.5097,0.5
Abomahdi,https://twitter.com/Abomahdi214,عمار,34.3497,35.9683,0.07739583333333333
Abou Ali,https://twitter.com/AbouAli91865592,بلوزا,34.2614,35.9525,0.0
Abou Amir Mazen,https://twitter.com/6789Marcel,الشوية,34.0656,35.7237,0.3333333333333333
Abou Haroun,https://twitter.com/AbouHar06906348,الشوم,34.0397,35.7061,0.0
Abou Houssein Damen,https://twitter.com/tiger_damen,الفتاح,33.8358,35.7475,0.0
Abou Ibrahim,https://twitter.com/AbouIbr09024501,بيروت,33.8719,35.5097,0.7
Abou Lamba,https://twitter.com/LambaAbou,عين الصالحية,34.0761,35.713,0.06818181818181818
Abou Rayan,https://twitter.com/AbouRay62384135,الغابات,34.0822,35.8733,0.3060606060606061
Abou Riad,https://twitter.com/abou__riad,الكرخانا,33.9453,35.7342,0.25
Abou Samir,https://twitter.com/abousam56169125,فيع,34.3484,35.7883,0.01388888888888889
AbouNazihchami,https://twitter.com/AbouNazihchami,ولا,34.535,36.1814,0.09659090909090907
Abounidaal,https://twitter.com/Abounidaal,خربة الجرد,34.4833,36.1333,0.2458333333333333
Abu Hilal,https://twitter.com/Mohamad72130987,له,34.2511,36.0447,-0.16285714285714287
Abu Omar,https://twitter.com/AbuOmar22120,المياس,33.1833,35.4403,0.3416666666666666
Abu Turabابوتراب,https://twitter.com/am_alihaider,بيروت,33.8719,35.5097,0.13636363636363635
Abu Yazan,https://twitter.com/smaaza,فيع,34.3484,35.7883,0.0
Abu Yousef Alaamri,https://twitter.com/AhmedAlaamri999,الا,33.8431,35.7333,0.0
Adam,https://twitter.com/Adam00882954,بعبدا,33.8339,35.5442,0.05185185185185185
Adam El-Masri,https://twitter.com/Adam05210756,فيع,34.3484,35.7883,-0.209375
Adam Jaber.,https://twitter.com/AdamJab94413914,الزفات,33.4422,35.5839,0.0
Adel,https://twitter.com/AdilRamlawi,شرين,33.9322,35.7308,-0.375
Adel * عادل,https://twitter.com/adelshm2000,فرون,33.2954,35.4287,0.0839404761904762
Adel Bahri,https://twitter.com/bahri_adel,بيروت,33.8719,35.5097,0.0
Adel Bazzi,https://twitter.com/AdelBazzi0,عين الصالحية,34.0761,35.713,0.15935658670033673
Adel Najd.,https://twitter.com/najdadel,بيروت,33.8719,35.5097,0.015277777777777779
Adel Zakaria | عادل زكريا ☆,https://twitter.com/AdelZakaria24,فيسان,34.4761,36.3464,-0.115625
Adeline Khoury,https://twitter.com/AdelineKhoury,ممنع,34.5014,36.1775,0.1015625
Adem Turan,https://twitter.com/1ademturann,بيروت,33.8719,35.5097,0.0
Adepeju,https://twitter.com/adepejudawodu,شوريت,33.7394,35.6333,0.0
Adham,https://twitter.com/Adham52140143,يارين,33.1067,35.2331,0.14416666666666667
Adib Kadri,https://twitter.com/feierkrop,ولا,34.535,36.1814,0.11285714285714285
Adnan,https://twitter.com/adnan_haddadd,حرف مزيارة,34.335,35.9422,-0.14583333333333334
Adnan ACH,https://twitter.com/AbouchacraAdnan,لاي,33.8533,35.5239,-0.23822390572390573
AdnanJones,https://twitter.com/jones_adnan,وطى البرج,34.1931,35.6347,1.0
Adolph,https://twitter.com/adolphzoghby,بعبدا,33.8339,35.5442,0.0
Adonis,https://twitter.com/atwihasan91,الجوزل,34.3953,36.3806,0.0
Adonis Zeidan,https://twitter.com/zeidan_adonis,شناتا,34.2581,35.8225,0.3666666666666667
AdreanoElSoueidy,https://twitter.com/ElSoueidy,صور,33.2733,35.1939,0.1366666666666667
Adyan Foundation,https://twitter.com/adyanfoundation,كلش,34.1192,35.7317,0.155
Afif Diab,https://twitter.com/Afif_diab1,بيروت,33.8719,35.5097,0.032172373081463986
Afifa Karake,https://twitter.com/AfifaKarake,بعبدا,33.8339,35.5442,0.08745284191117525
Agenda Municipal Libanais أجندة البلدية اللبنانية,https://twitter.com/AgendaLebanon,بيروت,33.8719,35.5097,0.0
AhMaD FoUaNI,https://twitter.com/ahmad_fouani_,الدكوة,33.6917,35.8761,0.09318181818181819
Ahmad,https://twitter.com/ahmadsafadi_,القصعة,33.3569,35.65,0.05599368686868687
Ahmad Abdelwahed,https://twitter.com/AhmadAw123,الدكوة,33.6917,35.8761,-0.1893939393939394
Ahmad Ahmad,https://twitter.com/AhmadAh20285017,رامات,34.2183,35.7164,0.0
Ahmad Akhdar,https://twitter.com/AhmadAkhdar12,كلش,34.1192,35.7317,0.14
Ahmad Al Gharib,https://twitter.com/TofiCell3,كير,33.5372,35.3992,0.1
Ahmad Al Hammad,https://twitter.com/AhmadAl30560480,بيروت,33.8719,35.5097,0.016666666666666666
Ahmad Al-Houjeiry,https://twitter.com/AlHoujeiryAhmad,الشعب,34.0467,35.6489,0.41818181818181815
Ahmad Alzoabi,https://twitter.com/AlzoabiAhmad,بيروت,33.8719,35.5097,0.0
Ahmad Atallah,https://twitter.com/Ahmad__Atallah,حاقل,34.1705,35.7501,-0.15000000000000002
Ahmad Badr,https://twitter.com/AhmadBadr6,النبع,33.8386,35.6575,0.016666666666666684
Ahmad Baytieh,https://twitter.com/A7madBB,بيروت,33.8719,35.5097,0.0
Ahmad DEEB,https://twitter.com/douwaykha,اللبنايا,33.4361,35.5444,0.32083333333333336
Ahmad El Hajj,https://twitter.com/AhmadElHajj007,الصليب,33.2914,35.6396,0.02044077134986225
Ahmad El-rez,https://twitter.com/ahmadelrez1,كتا,34.2494,36.385,0.25
Ahmad Hajjar,https://twitter.com/_ahmadhajjar,يونين,34.0792,36.2747,0.15526875901875903
Ahmad Halawi,https://twitter.com/ahmadhalawii,عنان,33.5681,35.5089,0.0
Ahmad Hayek,https://twitter.com/AdHayek,الصميطات,34.6539,36.3494,-0.016666666666666663
Ahmad Hellani,https://twitter.com/AhmadHellani,حرف مزيارة,34.335,35.9422,0.18611111111111112
Ahmad Hojeij,https://twitter.com/AhmadHojeij9,المنيطرة,34.0732,35.8907,-0.16666666666666666
Ahmad Issa,https://twitter.com/IssaAhmad00,يات,33.8606,35.5656,0.5
Ahmad Karaki,https://twitter.com/Ahmad_Karaki,معشوق,33.2685,35.2241,-0.028000000000000018
Ahmad Karram,https://twitter.com/AhmadKarram5,الكرخانا,33.9453,35.7342,0.0
Ahmad Kassem,https://twitter.com/AhmadKa91892814,بيروت,33.8719,35.5097,0.0
Ahmad Masa'deh - أحمَد مَسَاعْدِه,https://twitter.com/AhmadKMasadeh,فيع,34.3484,35.7883,0.453030303030303
Ahmad Matar,https://twitter.com/AhmadMatar6,مراسفة,33.8833,35.5333,-0.4683333333333333
Ahmad Mazen,https://twitter.com/AhmadMazen93,رامات,34.2183,35.7164,0.6000000000000001
Ahmad Mehio,https://twitter.com/amehio,بيت الحج حسن,34.4453,36.5094,0.07718855218855218
Ahmad Mezher,https://twitter.com/ahmad_mezher,شقيف,34.0714,35.6542,-0.30000000000000004
Ahmad Nachar,https://twitter.com/AhmadNachar6,بيروت,33.8719,35.5097,0.0
Ahmad Rawi,https://twitter.com/ahmadelrawi,ملحون,34.1436,35.7011,0.175
Ahmad Samrout,https://twitter.com/SamroutAhmad,الجربانة,33.7067,35.5283,0.0
Ahmad Taha || أحمد,https://twitter.com/AhmadTaha_at,المصالي,34.4089,35.9664,0.06818181818181818
Ahmad Walid Kraydieh,https://twitter.com/AKraydieh,الرمطانية,33.8361,35.8239,0.24375
Ahmad Waridi /// أحمد الوريدي,https://twitter.com/AhmadWaridi8,بعترة,34.1539,35.8625,-0.05
Ahmad Zakaria,https://twitter.com/ahmadzakaria199,لكردي,34.4072,35.9233,0.04571428571428571
Ahmad j,https://twitter.com/ahmadjayt,العصبة,34.1872,35.7886,0.15625
Ahmad rida farkouh احمد رضا فركوح,https://twitter.com/ahmadfarkouh,شعبية,34.1803,35.8933,0.35625
Ahmad selayman al MeRHEbi,https://twitter.com/ahmad74062012,سلم,33.5272,35.4889,0.5
AhmadMK,https://twitter.com/a7madk91,بيروت,33.8719,35.5097,0.35
AhmadShalhoub,https://twitter.com/AhmadShalhoub18,بيروت,33.8719,35.5097,0.12886363636363637
Ahmaed,https://twitter.com/MailkiAhmed,بيروت,33.8719,35.5097,-0.05
Ahmd,https://twitter.com/Ahmd99262247,بسابا,33.8031,35.5425,0.6
Ahmed,https://twitter.com/drahmedaz11,الهمي,33.9175,35.7147,0.0
Ahmed Abdallah,https://twitter.com/ahmedabdallahtv,كلش,34.1192,35.7317,0.08487854737854739
Ahmed Al-Khaldi,https://twitter.com/Ahmedkhaldi01,بيروت,33.8719,35.5097,0.0
Ahmed Bahbah,https://twitter.com/AhmedBahbah2,الناصرة,33.885999999999996,35.5118,0.4
Ahmed Tariq,https://twitter.com/Ahmed_6ariq,شعبية,34.1803,35.8933,-0.15625
Ahmet,https://twitter.com/Cmndr2980,رامات,34.2183,35.7164,0.0
Ahmoudi,https://twitter.com/airaki,الكرخانا,33.9453,35.7342,0.0
Aida Daoud,https://twitter.com/TadoAd,بكونا,34.115,35.6725,0.0
Aida Sabra,https://twitter.com/AidaaaTheBest,الهويش,34.4986,36.1167,0.2
Ajjour,https://twitter.com/Ajjour3,ورا,33.8431,35.5689,0.125
Ajyalschool,https://twitter.com/Ajyalschool1,حريبي,33.195,35.4631,0.16
AkJ,https://twitter.com/akbaydoun,بيروت,33.8719,35.5097,0.0
Akhbar | أخبار الآن,https://twitter.com/akhbar,عين الصالحية,34.0761,35.713,0.06818181818181818
AkhbarnaOnline,https://twitter.com/AkhbarnaO,بكونا,34.115,35.6725,0.037069892473118274
Akram Alagha,https://twitter.com/Akramalagha1,الكرخانا,33.9453,35.7342,0.11727272727272725
Akram Chamas,https://twitter.com/ChamasHatem,الصنوبرة,33.8925,35.4836,0.0
Akram Hamdan,https://twitter.com/AkhAkram,كلش,34.1192,35.7317,0.027727272727272722
Al Aan FM,https://twitter.com/AlAanfmRadio,الأوزاعي,33.8515,35.486,0.037500000000000006
Al Arrab العرّاب,https://twitter.com/AlArrabcom,المملحة,33.3897,35.7169,0.5
Al Hajj,https://twitter.com/AlHajjY2,بيروت,33.8719,35.5097,-0.75
Al Joumhouria,https://twitter.com/aljoumhouria,موليد,34.395,35.9758,0.1167207792207792
Al Markazia,https://twitter.com/AlMarkazia,حسن,33.4597,35.8333,0.04800290135396519
Al Modon,https://twitter.com/almodononline,الشوية,34.0656,35.7237,-0.07916666666666666
Al Tays - التّيس,https://twitter.com/Al_Tays_,كلش,34.1192,35.7317,0.25
Al assal asaad,https://twitter.com/asaadalassal5,رامات,34.2183,35.7164,-0.3166666666666667
Al-Hadeel- الهديل,https://twitter.com/AlHadeelMag,بيروت,33.8719,35.5097,-0.02657828282828283
Al-jesr الجسر,https://twitter.com/aljesr100,بيروت,33.8719,35.5097,-0.1
AlMoukawel,https://twitter.com/AlMoukawel,عين الصالحية,34.0761,35.713,0.08392255892255893
AlMughtarebMagazine,https://twitter.com/al_mughtareb,السعديات,33.6889,35.4253,-0.16666666666666666
Alaa,https://twitter.com/alaakh1291,أرز بشرّي,34.2447,36.0394,0.2
