section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-info,section-result-location,section-result-info 2
Imad Maalouf Photography,5.0,(1),Wedding photographer,Closed today,"Al Mustaqbal Strt , Naccache, Metn, Lebanon Naqqache",Opens at 9:00 AM
Swanlake Venue,4.5,(72),Wedding venue,Closing soon: 11:30 PM,"AL DOUAR MAR MOUSSA MOUNT LEBANON, LEBANON",Closed today
Art-Monit,4.3,(8),Wedding planner,Closed today,,Opens at 9:00 AM
Lamasat Events Organizing,4.1,(21),Wedding planner,Closed,"baalback beqaa,talia",Opens at 9:00 AM
Classic Wedding Cars,4.0,(4),Wedding service,,Salhab streed behind cinema Odeon Antelias,Closed today
ASMA Wedding Planner,4.5,(4),Wedding planner,Opens at 9:00 AM,,Closed today
وليد لكافة الخدمات و العرائس,3.0,(1),Wedding service,,,
wedding Photography and videography,4.5,(6),Wedding photographer,,,Closed today
Tahanina Wedding Planner,5.0,(1),Wedding planner,Closed,"Beirut, Jdeideh Center Maalouf, 2nd floor, Bakkata",Opens at 9:00 AM
Boutros Wedding,2.6,(13),Wedding planner,,,Closed today
Maurice salloum - new office,5.0,(9),Wedding planner,Closed today,,
Weddinngs in Cyprus by Maisy,4.7,(15),Wedding planner,,Youssef El Hayek,Closed today
Once For Life / Event & Wedding Planner,4.4,(12),Wedding planner,Opens at 8:00 AM,Beirut,Closed today
The Pearl,4.0,(6),Wedding planner,Closed today,Beirut,Open until 1:00 AM
Danza Group,4.0,(1),Wedding planner,Opens at 9:00 AM,,Closed
bella wedding cards,4.4,(10),Wedding service,Opens at 10:00 AM,Beirut,Closed today
Jad Mourani Wedding Planner Chocolate,4.7,(17),Wedding planner,Open until 3:00 AM,,Closed today
Chapelle Saint Joseph,5.0,(5),Wedding chapel,Opens at 9:00 AM,,Closed
Maurice Salloum,5.0,(4),Wedding planner,Closed today,,Opens at 8:00 AM
The Legend,4.2,(178),Event venue,,,Closed today
Imad Maalouf Photography,5.0,(1),Wedding photographer,Closed today,"Al Mustaqbal Strt , Naccache, Metn, Lebanon Naqqache",Opens at 9:00 AM
Swanlake Venue,4.5,(72),Wedding venue,Closing soon: 11:30 PM,"AL DOUAR MAR MOUSSA MOUNT LEBANON, LEBANON",Closed today
Art-Monit,4.3,(8),Wedding planner,Closed today,,Opens at 9:00 AM
Lamasat Events Organizing,4.1,(21),Wedding planner,Closed,"baalback beqaa,talia",Opens at 9:00 AM
Classic Wedding Cars,4.0,(4),Wedding service,,Salhab streed behind cinema Odeon Antelias,Closed today
ASMA Wedding Planner,4.5,(4),Wedding planner,Opens at 9:00 AM,,Closed today
وليد لكافة الخدمات و العرائس,3.0,(1),Wedding service,,,
wedding Photography and videography,4.5,(6),Wedding photographer,,,Closed today
Tahanina Wedding Planner,5.0,(1),Wedding planner,Closed,"Beirut, Jdeideh Center Maalouf, 2nd floor, Bakkata",Opens at 9:00 AM
Boutros Wedding,2.6,(13),Wedding planner,,,Closed today
Maurice salloum - new office,5.0,(9),Wedding planner,Closed today,,
Weddinngs in Cyprus by Maisy,4.7,(15),Wedding planner,,Youssef El Hayek,Closed today
Once For Life / Event & Wedding Planner,4.4,(12),Wedding planner,Opens at 8:00 AM,Beirut,Closed today
The Pearl,4.0,(6),Wedding planner,Closed today,Beirut,Open until 1:00 AM
Castel Mare Beach Hotel & Resort,4.0,(221),4-star hotel,Opens at 9:00 AM,,Closed
Rest Palace,4.4,(10),Wedding venue,Closed today,,Closing soon: 11:00 PM
Arli s.c.s G. Jarrache & Co. Wedding Cards,4.6,(16),Wedding service,Closed today,Forn El Chebbak,Open until 3:00 AM
Perfect Choice Wedding Cars (Showroom),5.0,(14),Wedding service,Opens at 9:00 AM,طريق الزلقا الرئيسي,Closed
R&J Wedding cards and souvenirs,5.0,(4),Wedding souvenir shop,Closed,Amchit Jbeil,Opens at 9:00 AM
"Esposa, Dbayeh",4.8,(134),Bridal shop,Closed today,,
Ouiconcept,4.5,(61),Wedding planner,Closed today,Beirut,Opens at 9:00 AM
Joycy - Wedding Car,2.0,(2),Car rental agency,Closing soon: 11:30 PM,"Jbail - Annaya Road, Hboub",Closed today
Stepswe,4.3,(6),Wedding planner,Closed today,,Opens at 9:00 AM
CONCERTO wedding hall,4.0,(13),Wedding venue,Opens at 9:00 AM,,Closed
