section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-info,section-result-location,section-result-info 2
Pleine Nature,4.3,(87),Wedding venue,,Ain Saade,
Derails Wedding Planner,4.4,(7),Wedding service,Closed today,,Opens at 9:00 AM
صالة الضياء للافراح,5.0,(1),Wedding venue,Opens at 9:00 AM,Qatana,Closed
Walid wedding planner,5.0,(1),Wedding planner,Closed,Old Saida Rd,Opens at 9:00 AM
Weddinngs in Cyprus by Maisy,4.2,(55),Wedding planner,Open until 12:00 AM,Youssef El Hayek,
"Glamor Moda , Wedding And Evening Dresses",5.0,(1),Clothing store,Closed,Unnamed Road,Opens at 12:00 AM
La Perla-اللؤلؤة,3.8,(4),Event venue,Opens at 10:00 AM,Chehime,Closed
Château Khoury Wedding Venue,3.0,(4),Wedding venue,Opens at 8:00 AM,,Closed
Beydoun Chairs كراسي بيضون,5.0,(1),Wedding service,Closed today,Haret Hreik,
Arli s.c.s G. Jarrache & Co. Wedding Cards,4.6,(16),Wedding service,Closed today,Forn El Chebbak,Closing soon: 11:00 PM
"Momento / Wedding Planner in Lebanon, Italy, Spain, Greece and Turkey",3.9,(104),Wedding planner,Closed today,"Horsh Tabet, Daoud Aramoun Street, tanios bustross Building , 6th floor",Open until 4:00 AM
Studio Neuf 9,4.0,(2),Wedding planner,,,
CONCERTO wedding hall,4.0,(13),Wedding venue,,,Closed today
Hightower Castle,4.6,(74),Event venue,Open until 8:00 AM,,
Château Cana,5.0,(2),Winery,,Bhamdoun,Closed today
Jad Mourani Wedding Planner Chocolate,4.0,(1),Wedding planner,Opens at 9:00 AM,,Closed
ASMA Wedding Planner,4.5,(4),Wedding planner,,,
C wedding car,3.0,(2),Wedding planner,Closed today,Matn Express Hwy,
Wedding Planner Cyprus,5.0,(9),Wedding planner,Open until 11:45 PM,1072150,
Leyland,3.8,(15),Event venue,,Aley,Closed today
Olea Venue,4.2,(5),Wedding venue,,,
Colors & Shapes - Wedding Furniture,4.3,(4),Wedding service,Opens at 9:00 AM,Charles Debbas,Closed today
Art-Monit,4.3,(8),Wedding planner,Closed today,,Opens at 9:00 AM
Grand Rennaissance Venue Hall,5.0,(1),Wedding venue,Opens at 9:00 AM,Beirut,Closed
Afrah Group,4.2,(13),Wedding planner,Closed today,,Open until 12:00 AM
Jenifer,5.0,(1),Bridal shop,Opens at 12:00 AM,,Closed
wedding Photography and videography,3.8,(4),Wedding photographer,Opens at 10:00 AM,,Closed
Once For Life / Event & Wedding Planner,3.0,(4),Wedding planner,Opens at 8:00 AM,Beirut,Closed
White Wedding & Event Planners,5.0,(1),Wedding planner,Closed today,Beirut,
Swanlake Venue,4.5,(72),Wedding venue,Closing soon: 11:00 PM,"AL DOUAR MAR MOUSSA MOUNT LEBANON, LEBANON",Closed today
bourj al akhdar,3.9,(83),Lebanese,Closed today,Sidon,Open until 12:00 AM
La Magnanerie Ain Hamada Baabdat | Arbanieh,5.0,(2),Wedding venue,,Baabdat,
Maurice Salloum,4.0,(13),Wedding planner,Closed today,,
Tahanina Wedding Planner,5.0,(1),Wedding planner,Closed,"Beirut, Jdeideh Center Maalouf, 2nd floor, Bakkata",Opens at 9:00 AM
Ouiconcept,5.0,(2),Wedding planner,Closed today,Beirut,
Haidar events,4.0,(1),Wedding planner,Closed today,Mirna Chalouhi,Opens at 9:00 AM
Cartes et Promotion,4.4,(9),Wedding service,Closed today,,
Polygon Wedding Furniture,5.0,(1),Wedding service,Closed today,Aintoura - Zahlé Rd,
Mona me,4.6,(11),Women's clothing store,Closed,,Opens at 9:00 AM
Al khozama Wedding Hall صالة الخزامى,5.0,(21),City or town hall,,Wadi Jilou,Closed today
Elie Moujaes Production,4.2,(5),Wedding photographer,,Dhour Chweir,
Boutros Wedding,2.6,(13),Wedding planner,Opens at 9:00 AM,,Closed today
bella wedding cards,4.4,(10),Wedding service,Opens at 9:00 AM,Beirut,Closed today
Pure Image Lebanon,5.0,(1),Wedding photographer,Opens at 9:00 AM,,Closed
Weddings 4 Life,4.0,(4),Wedding planner,Closed today,,Open until 12:00 AM
Perfect Choice Wedding Cars,4.5,(87),Wedding service,Opens at 12:00 AM,,Closed
Boustany Production,5.0,(3),Wedding photographer,Opens at 10:00 AM,Beirut,Closed
studio profile picture,3.8,(5),Wedding photographer,Closed today,Beirut,Opens at 8:00 AM
Sparkles & Dust,5.0,(6),Wedding planner,Closed today,Beirut,
Boutique SAUVAGE,3.5,(4),Clothing store,Closed,Tyre,Opens at 9:00 AM
Barraj Garden,4.1,(102),Cafe,Open until 12:00 AM,,Closed today
Palais Des Cedres Hotel,4.6,(90),4-star hotel,,,
Domaine de Zakrit,4.6,(157),Wedding venue,,Zekrit El Metn,Closed today
Black Horse Group,5.0,(1),Coaching center,Closed today,,Opens at 9:00 AM
Life venue,4.6,(94),Event venue,,Jiyeh,Closed today
"Freedom Events - Weddings & Zaffe (Armenian, Greek, Gypsy...)",4.7,(3),Wedding planner,Opens at 9:00 AM,,Closed today
Clase Mundial Wedding Planners,4.8,(31),Wedding planner,Closed today,"Saint Michel Street Zouk Micheal Zouk Micheal, Lebanon Kesrouan",
Classic Wedding Cars,5.0,(1),Wedding service,,Salhab streed behind cinema Odeon Antelias,Closed today
Perfect Choice Wedding Cars & Events,5.0,(19),Wedding service,Closed today,Jdeideh,Opens at 9:00 AM
Throne - RSVP wedding,5.0,(2),Event planner,Closed,,Opens at 8:00 AM
La Reine Wedding Garden,4.6,(5),Restaurant,,,
Chidiac Garden,4.3,(56),Event venue,Opens at 9:00 AM,Beirut,Closed today
Georges R. Abdallah Photography,5.0,(3),Wedding photographer,Opens at 9:00 AM,Beirut,Closed today
Studio Dany Rizkallah,4.3,(7),Wedding photographer,Closed today,"Beirut, Jdeideh",Opens at 9:00 AM
The History Wedding Venue,4.3,(44),Wedding venue,Open until 12:00 AM,,Closed today
Soursok park and wedding hall,4.5,(87),Restaurant,Closed,,Open until 12:00 AM
Chapelle Saint Joseph,5.0,(5),Wedding chapel,Opens at 10:00 AM,,Closed
Noiva's,4.3,(50),Bridal shop,Closed today,Baouchriye,Opens at 8:00 AM
Perfect Choice Wedding Cars (Showroom),5.0,(14),Wedding service,,طريق الزلقا الرئيسي,Closed today
Razan Fashion Wedding Dress,3.5,(4),Clothing store,Opens at 9:00 AM,,Closed
"""Little Rosen"" Design Studio Wedding Dresses",5.0,(2),Bridal shop,Closed,Ma'alot-Tarshiha,Opens at 9:00 AM
Soursok park and wedding hall,5.0,(4),Restaurant,,Unnamed Road,Open until 11:45 PM
wedding date,5.0,(1),Wedding planner,Closed today,,
S.Y wedding dresses,5.0,(2),Clothing store,Closed today,,Opens at 9:00 AM
Studio Ghoussainy,5.0,(5),Photography studio,Closed today,Baakleen,
Salet Al Majles - Almajles Hall,4.7,(3),Wedding chapel,Opens at 9:00 AM,,Closed today
Kazma wedding cards,4.5,(16),Wedding store,Closed today,,
Royal wedding cards,5.0,(2),Wedding store,Closed today,,
ROSA CLARÁ,3.7,(3),Wedding store,Closed today,Beirut,Opens at 9:00 AM
Terrace el Iklim تراس الاقليم,4.0,(34),Event venue,Opens at 8:00 AM,Chehime,Closed
Ahmad Chawich Events & wedding planner,4.6,(5),Video production service,,,
Zafafek(jalloul Wedding Dress),1.0,(1),Wedding dress rental service,Opens at 9:00 AM,Borj Albarajneh,Closed today
La boutique - Carré Sucré Catering,4.1,(72),Dessert shop,Closed,"Hadath, Mount Lebanon",Opens at 9:00 AM
Lebanon Weddings,4.3,(16),Wedding venue,Opens at 9:00 AM,Byblos,Closed today
Kazma Wedding Cards- Kazma Printing & Trading Co,4.3,(44),Wedding store,Closed today,Beirut,Open until 12:00 AM
Fairybou,2.0,(1),Bridal shop,Open until 12:00 AM,,Closed
Ebla Production Video & Photo Services,3.5,(2),Photographer,Closed,Majdal Shams,Opens at 9:00 AM
Tivoli sweets,4.4,(58),Patisserie,Closed,,Opens at 7:30 AM
La Reine Boutique,4.2,(11),Bridal shop,Closed today,,
Something Blue,4.6,(57),Bridal shop,Closed today,,Opens at 9:00 AM
Randa Samra,2.0,(1),Bridal shop,Opens at 9:00 AM,,Closed
Portal Events,5.0,(4),Event venue,Open until 11:45 PM,"tyre al housh, صور،",
Sibahi Group,5.0,(1),Event planner,,,Closed today
Chateau Rweiss,4.5,(189),Wedding venue,Opens at 9:00 AM,,Closed today
"Esposa Privé, Downtown Beirut",4.9,(95),Bridal shop,Temporarily closed,Beirut,
The pattern of Kiryat Shmona - Wedding Invitations,5.0,(2),Print shop,Closed,Qiryat Shemona,Opens at 9:30 AM
Safadieh Flowers,4.8,(4),Flower designer,Closed,Sidon,Opens at 8:00 AM
George Lteif Photography,4.3,(18),Wedding service,Closed today,"Next to Credit Libanais, Nehme Building Dekouaneh",
Damour Country Club,4.0,(139),Resort,Opens at 9:00 AM,,Closed today
"Esposa, Ramleh El Bayda",4.9,(156),Bridal shop,Opens at 8:00 AM,Beirut,Closed
World of Weddings,5.0,(1),Wedding service,Closed today,,
Bella Bride,4.3,(4),Bridal shop,Closed today,,Opens at 9:00 AM
Fashion Flowers Weddings & Events,3.8,(15),Flower market,Closed,,Opens at 9:00 AM
Eleanore Couture,3.0,(48),Bridal shop,Closed today,,Opens at 9:00 AM
Four Seasons Hotel Beirut,4.6,"(1,941)",5-star hotel,Open until 12:00 AM,Beirut,Closed today
Sara Mrad Couture,4.8,(48),Bridal shop,Closed today,,Open until 12:00 AM
Saray Nassib Basha,4.8,(40),Historical landmark,Opens at 9:00 AM,Bramiyeh,Closed
Georges Hobeika,4.5,(43),Haute couture fashion house,Closed today,Sin El Fil,Opens at 7:30 AM
Champagne Wedding Boutique,3.7,(13),Clothing store,Closed today,,
Villa Linda Sursock By Le Bristol,4.5,(136),Event venue,Opens at 9:00 AM,,Closed today
Orizon Byblos,4.2,(318),Wedding venue,Closed,Byblos,Opens at 8:00 AM
Shawatina,4.1,(188),Restaurant,,Tyre,Open until 12:00 AM
"Esposa, Dbayeh",4.8,(134),Bridal shop,Closed today,,
Patisserie Oriental,4.0,(30),Pastries,Closed,,Opens at 7:00 AM
جنة سور مار Janna Sur Mer,4.7,(7),Beach pavillion,Closed,Damour Beach Road Damour,Opens at 9:00 AM
Cherry Blossom Boutique Hotel,4.3,(283),4-star hotel,Opens at 9:30 AM,Bḩamdūn,Closed
Ramma Wedding halls ראמא אולמי אירועים,4.1,(28),Event venue,Opens at 8:00 AM,Karmiel,Closed
Le Commodore Hotel,4.0,"(1,100)",5-star hotel,,,Closed today
Coral Beirut Al Hamra Hotel,3.9,(623),4-star hotel,Opens at 9:00 AM,,Closed today
Janna Sur Mer Beach Resort & Hotel,4.1,"(1,043)",Beach pavillion,Opens at 8:00 AM,Damour Sea Road Damour,Closed
Le Royal Hotel Beirut,4.4,"(1,695)",5-star hotel,,,Closed today
Jose Daou photographer,4.3,(11),Photographer,Closed today,Jounieh,Opens at 9:00 AM
Maison LESLEY,4.8,(35),Bridal shop,Closed today,Jounieh,Opens at 9:00 AM
Shmulik photos,3.0,(48),Photographer,Opens at 9:00 AM,Nahariyya,Closed today
BAZ Events,5.0,(2),Event planner,Closed today,Beirut,Open until 12:00 AM
Yara Estephan Weddings & Events,4.8,(48),Corporate office,Closed today,,Open until 12:00 AM
Elma Wedding Cars,4.8,(40),Car leasing service,Closed,,Opens at 2:00 PM
Beirouty Weddings And Events Planner,5.0,(24),Wedding planner,Closed,Irbid,Opens at 11:00 AM
Margot - wedding dress designers,5.0,(2),Bridal shop,,Tiberias,Closed today
Blanc De Chêne,4.3,(151),Restaurant,Opens at 9:00 AM,,Closed today
Lazurdpalace,5.0,(1),Wedding venue,Opens at 8:00 AM,Damascus,Closed
Tanit Venue,4.1,(116),Event venue,,,Open until 1:00 AM
Rani Itani Couture,4.6,(22),Dressmaker,Closed today,,
Feghali Studio,4.5,(13),Photo lab,Closed today,,Opens at 7:00 AM
AURA Headpieces,4.1,(7),Fashion accessories store,Closed today,Beirut,Opens at 9:00 AM
LOOK IN COUTURE,5.0,(2),Women's clothing store,Closed today,Avenue,Opens at 9:30 AM
Chalhoub Photography,4.5,(19),Photographer,Closed today,Beirut,Opens at 8:00 AM
OverWhelming Beirut Creative Boutique,4.0,"(1,100)",Advertising agency,Closed today,Beirut,
Lancaster Tamar Hotel,4.0,(629),4-star hotel,Opens at 9:00 AM,Boulevard General Emile Lahoud - Beirut beirut,Closed today
Le Jardin Du Royal Restaurant,4.1,"(1,043)",Restaurant,Closed,"Dbayeh, Le Royal Hotel 5th floor Beirut Lebanon",Closing soon: 11:30 PM
Sawaya Flowers,4.2,(14),Flower designer,Closed,Zahlé,Opens at 9:00 AM
AL FARAH - JOY Group,4.9,(16),Wedding service,Closed today,Chalet Suisse Street Mirna Tawk Center Ground Floor,Opens at 9:00 AM
La Pousse Verte,4.8,(5),Wedding service,Closed,Beirut,Opens at 8:30 AM
Ma.Sa.Ha,5.0,(4),Florist,Closed today,Mansourieh,Opens at 9:00 AM
"SKY LIGHT: Events Sound & Light in Lebanon, AV Companies Lebanon, Led Screen Rental Lebanon, wedding sound and light",5.0,(40),Stage lighting equipment supplier,Open until 12:00 AM,بيروت,Closed today
Ghorayeb Technotel,3.0,(9),Furniture rental service,Closed today,"Eid building, 6th floor, Mar Youhanna street Bauchrieh Matn",Open until 12:00 AM
Heart to Heart,4.4,(15),Event management company,Closed today,,Opens at 2:00 PM
Studio Ramy Al Saghir,4.7,(11),Photographer,Closed today,Mansourieh,Opens at 11:00 AM
Krikor Jabotian,4.8,(6),Fashion designer,,,Closed today
ZARA,3.9,(12),Fashion accessories store,Closed today,Sidon,Opens at 9:00 AM
כלה קלה - KALA KALA שמלות כלה במחירים שפויים,4.9,(50),Wedding store,Closed,Caesarea,Opens at 9:00 AM
Gefinor Rotana,4.3,(986),5-star hotel,Open until 1:00 AM,Beirut,
The Wedding Cana Church,4.7,"(3,044)",Catholic church,,,Closed today
Nadia Travel Hazmieh,4.5,(13),Corporate office,Closed today,Mar Elias,Opens at 7:00 AM
Skamlati,4.1,(7),Furniture rental service,Opens at 9:00 AM,Unnamed Road,Closed today
Villa Paradiso Batroun,4.4,(135),Event venue,Opens at 9:30 AM,,Closed today
Cochav Hayam,4.4,(926),Event venue,Opens at 8:00 AM,,Closed today
Wonderlists S.A.L,5.0,(2),Corporate office,Closed today,,
Fleurs De La Sagesse,4.3,(75),Florist,Closed,Jdeideh,Opens at 8:00 AM
Biel,4.1,"(1,133)",Exhibition and trade centre,Closing soon: 11:30 PM,"Emile Lahoud highway, Furn El Chebak",Closed
Senses Hotel & Resort,3.6,(608),4-star hotel,Opens at 9:00 AM,,Closed
Adonis Rent A Car,4.1,(78),Car rental agency,Closed today,Zouk Mosbeh,Open until 12:00 AM
Le43 Catering,5.0,(7),Catering food and drink supplier,Closed today,,Opens at 8:30 AM
Scarbina,5.0,(1),Shoe store,Closed today,,Opens at 9:00 AM
פלורה שמלות כלה,4.7,(10),Bridal shop,Closed,Haifa,Opens at 9:00 AM
Kahloon Village,4.6,(21),Event venue,Open until 12:00 AM,محافظة جبل لبنان Nammoura، Main Road,Closed today
Chirak Printing & Publishing,4.4,(15),Print shop,Closed today,Bourj Hammoud,Opens at 2:00 PM
Canali Boutique - Foch Street,3.7,(3),Men's clothing store,Closed,Beirut,Opens at 10:00 AM
BURJ on BAY,4.5,(530),5-star hotel,,,Closed today
TAG HEUER BOUTIQUE BEIRUT SOUKS,4.1,(22),Watch store,Opens at 9:00 AM,Beirut,Closed today
Tag heuer,4.5,(2),Watch store,Opens at 9:00 AM,,Closed
Mövenpick Hotel Beirut,4.4,"(2,809)",5-star hotel,Open until 1:00 AM,,
InterContinental Phoenicia Beirut,4.6,"(2,545)",5-star hotel,Temporarily closed,,
ELIE SAAB,4.4,(49),Women's clothing store,Closed today,Beirut,Opens at 7:00 AM
Hilton Beirut Habtoor Grand,4.4,"(2,151)",5-star hotel,Opens at 9:00 AM,Beirut,Closed today
Bottega Veneta,4.4,(135),Boutique,Closed,Beirut,Opens at 10:00 AM
Cartier,4.9,(29),Jewelry store,Closed today,Beirut,Opens at 8:00 AM
Lancaster Eden Bay,3.2,(186),5-star hotel,,Beirut,Closed today
MystiqueRose,4.9,(8),Women's clothing store,Closed today,Koura - Kfaraaka,Opens at 8:00 AM
Tiffany & Co.,4.2,(25),Jewelry store,Closed today,,Closing soon: 11:30 PM
Four Points by Sheraton Le Verdun,4.3,(721),4-star hotel,Opens at 9:00 AM,Beirut,Closed
Alisa Wonderland שמלות כלה,5.0,(1),Bridal shop,Closed,Ga'ash,Opens at 9:00 AM
ABC Verdun,4.4,"(5,724)",Shopping mall,Closed,Beirut,Opens at 10:00 AM
תל-יה Tel-Ya A banquet hall,4.2,(563),Event venue,Opens at 9:00 AM,Tel Yitzhak,Closed today
Zoughaib & Co. Jewelry - Zouk Highway,4.5,(25),Jewelry store,Closed today,Jounieh - Beirut Hwy,Opens at 9:00 AM
Berman Designers,4.9,(48),Jewelry store,Closed today,,Open until 12:00 AM
Wedding,4.4,(15),,Opens at 2:00 PM,,Closed today
Richmond Weddings™,5.0,(38),Wedding service,Closed today,Richmond,Opens at 10:00 AM
