section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-info,section-result-location,section-result-info 2,section-result-info 3,section-result-description
Abou Zoheir Smoke Shop,2.0,(2),Tobacco shop,70 020 052,,Open until 3:00 AM,Closed today,Luxury brand for handbags & more
wds Shop,5.0,(1),Gift shop,Closed,Beirut karakol el druz near maa3niyeh school and croissant el sheik wds store,Opens at 9:00 AM,76 361 650,British luxury apparel & accessories
Toyzz Shops,5.0,(1),Toy store,Closed today,,Opens at 10:00 AM,03 839 049,Luxury Italian-designed fashions
Mirou Shop,3.8,(68),Clothing store,03 870 227,,,Closed today,
Olivco shop,5.0,(1),Health and beauty shop,Closed today,,Opens at 10:00 AM,70 697 943,"Shower gels, creams, soaps & more"
Jimmy Choo,4.0,(1),Shoe store,Closed,"Fakhry Bey Street, Beirut Souks, Downrown Beirut",Opens at 12:30 PM,01 991 111 ext. 595,Designer footwear & luxury accessories
Better Life Market,4.4,(37),Organic shop,Closed today,Beirut,Open until 8:00 AM,01 328 485,
Sandy Nour Saifi Store,3.9,(14),Clothing store,Closed today,Street,Opens at 10:00 AM,71 260 506,
Salsa Jeans,4.0,(3),Clothing store,Closed,Beirut,Opens at 10:00 AM,01 960 153,
Fadi’s Shop,5.0,(7),Coffee shop,Closed today,Beirut,,03 707 393,
HUGO BOSS (T2 Trading),4.3,(35),Men's clothing store,Closed,Beirut,Opens at 1:00 PM,01 985 131,Designer apparel & fragrance retailer
Lee,4.1,(47),Clothing store,01 650 882,,Opens at 8:00 AM,Closed,"Shower gels, creams, soaps & more"
COS,5.0,(5),Clothing store,Closed,Beirut,Opens at 10:00 AM,01 757 264,Supermarket for groceries & more
BALENCIAGA,4.6,(13),Women's clothing store,Closed,Beirut,Opens at 12:00 PM,01 991 111,High-end designer fashion & accessories
SECOND st,5.0,(1),Clothing store,Closed today,Beirut,Opens at 10:00 AM,70 656 100,
Classy Pets,5.0,(2),Pet store,Closed,,Opens at 10:00 AM,76 378 479,Iconic Seattle-based coffeehouse chain
Vintage Wine & Spirits,4.6,(41),Wine store,Closed today,,,01 970 222,
Mont Blanc Beirut Central District,3.7,(3),Watch store,Closed,,Opens at 10:00 AM,01 985 350,
Diablo Gift Shop,4.5,(17),Toy store,Closed,,Opens at 10:00 AM,81 820 902,"On-trend casualwear, shoes & accessories"
Paramount Butcher Shop Kraytem,4.0,(4),Butcher shop,Closed today,,Opens at 9:00 AM,01 792 193,
Golden Goose,4.6,(14),Clothing store,Closed,Beirut,Opens at 3:00 PM,76 966 571,Luxury brand for handbags & more
Karout Toys Trading,4.1,(103),Gift shop,Closed today,Beirut,Opens at 9:00 AM,01 660 663,British luxury apparel & accessories
Bike Security,5.0,(5),Motorcycle shop,Closed today,,Opens at 10:00 AM,70 998 441,Luxury Italian-designed fashions
Jaeger-LeCoultre Boutique - Beirut,2.3,(3),Watch store,Temporarily closed,Beirut,,01 256 655,
Yared for computers and communications,5.0,(1),Computer store,70 697 943,,Opens at 10:00 AM,Closed today,"Shower gels, creams, soaps & more"
Topshop,3.8,(4),Women's clothing store,Closed,Beirut,Closing soon: 11:00 PM,01 757 088,U.K.-born retailer for apparel & shoes
Dunkin Donuts,4.3,(144),Coffee shop,Closed today,Beirut Souks,Closing soon: 11:00 PM,01 970 263,
