section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,section-result-action href,section-result-action-icon src,section-result-action-text
Al Baath Medical & Pharmacy College,4.4,(19),University,Homs‎,Closed today,+963 945 455 182,http://med.albaath-univ.edu.sy/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
الجامعة اللبنانية - كلية العلوم - الفرع الرابع,5.0,(2),University,,Closed today,08 372 289,,,
Lebanese University-Faculty of Science-Amchit,3.5,(4),University,Aamchit,Closed today,09 621 687,http://www.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Lebanese University - Faculty Of Public Health,4.6,(5),School,,Closed today,06 410 021,http://www.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
معهد دار الزهراء الفني العالي,4.5,(2),Technical university,Tripoli,Closed today,03 118 775,,,
House of Science and Technology,4.0,(2),Graduate school,,Closed today,06 385 091,https://www.facebook.com/university.physics.consultations.coaching.services/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Faculty of Dentistry - Albaath University,4.6,(101),College,,,09 218 950,,,
Lebanese Canadian University - LCU,3.9,(25),University,Kesrouan,Closed today,09 233 183,http://www.lcu.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
كلية الهندسة الزراعية,3.5,(4),Public university,,Closed,06 409 461,http://agri.albaath-univ.edu.sy/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
إدارة جامعة حمص ( الإدارة المركزية ),3.4,(5),Public university,,Closed,06 416 100,,,
Holy spirit university of kaslik Med school,4.1,(18),University,Byblos,Closed today,09 600 000,,,
مديرية شؤون الطلاب المركزية,4.2,(12),Public university,حمص،,,06 952 701,,,
Institut Téchnique Maaisra,4.8,(5),Technical university,,Closed today,70 168 286,https://www.facebook.com/ITMMaaisra/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Cafeteria,3.8,(5),University,,,81 338 762,,,
أزهر البقاع فرع عرسال,3.5,(2),University,,Temporarily closed,06 218 400,,,
"Lebanese American University, Beirut Campus",4.5,(201),University,Beirut,Closed today,01 786 456,http://www.lau.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Modern University for Business and Science,4.4,(19),University,,,01 371 885,http://www.mubs.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
University Of Saint Joseph,5.0,(2),School,,Closed,06 405 046,,,
Beirut Arab University,4.2,(61),University,,Closed today,01 300 110,http://www.bau.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Global University,4.7,(71),University,,Closed today,01 358 058,http://www.gu.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
University Saint-Joseph of Beirut - Campus of Innovation & Physical Education,4.5,(61),University,Beirut,Closed today,01 421 000,http://www.usj.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
"Lebanese University, Hadat Campus",4.1,(275),Public university,,Closed today,01 612 831,http://www.ul.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Haigazian University,4.2,(49),Private university,,Closed today,01 353 010,http://www.haigazian.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Faculty of Civil Engineering of Al-Baath University,4.6,(5),School,M5,Closed today,06 410 021,,,
"American University of Science and Technology, Beirut Campus",4.3,(97),University,Beirut,Closed today,01 218 717,https://www.aust.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
Université Antonine - UA,4.1,(78),University,Baabda,Closed today,05 927 000,http://www.ua.edu.lb/,https://www.gstatic.com/images/icons/material/system_gm/1x/public_gm_blue_20dp.png,Website
