section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,Unnamed: 7
Moon Hill Restaurant,4.5,(10),Restaurant,near NDU louize shou campus,Open until 12:00 AM,,
مطعم شلالات نبع مرشد - Shallalat Nabeh Merched,4.2,(783),Restaurant,Moukhtara,Opens at 12:30 PM,Closed,
B.Rock,4.4,(9),Restaurant,Baadaran Airport,Open until 11:30 PM,,
Abou Ataya Restaurant,4.5,(142),Fast Food,Homsieh Main Road Saida Jezzine Dhour el Ramlet area Dahr al Ramleh Bkassine ضهر الرملة,Open until 12:00 AM,,
Best Food Restaurant,3.9,(51),Restaurant,,Opens at 9:00 AM,Closed,
CHALLALAT NABEH EL SAFA REST.,4.4,(32),Restaurant,,Closing soon: 11:00 PM,,
Falafel wa Manakish Jean,4.7,(14),Restaurant,,Opens at 7:30 AM,Closed,
Shawarma Station,3.8,(484),Restaurant,,Open until 12:00 AM,,
Al Sanawbar - Restaurant,4.4,(11),Restaurant,,Open until 12:00 AM,,
Restaurant Al Hawr,4.2,(17),Restaurant,,Open until 12:00 AM,,
restaurant la forêt,4.3,(23),Restaurant,,Open until 1:00 AM,Closed today,
Sabeh Ayoun - Restaurant,4.6,(13),Restaurant,,Open until 12:00 AM,,
Orchid Beach Resort,4.2,(303),Restaurant,,Opens at 9:00 AM,Closed,
Burger Hills,4.1,(110),Restaurant,,Opens at 12:00 PM,Closed,
Chill Resto Pub,4.5,(19),Restaurant,,Opens at 9:00 AM,Closed,
Super Bowl,4.7,(7),Japanese,,Open until 12:00 AM,Closed,
Em Ali restaurant,4.4,(72),Restaurant,,Opens at 10:00 AM,Closed,
Hallak restaurant,4.2,(38),Restaurant,,Opens at 8:00 AM,Closed,
Al Baba (El Papitto) - Restaurant,3.8,(148),Restaurant,,Open until 2:00 AM,,
Al Midyaf - Restaurant,4.2,(31),Restaurant,,Opens at 12:00 PM,Closed,
Al Zaeem Restaurant & cafe,5.0,(1),Lebanese,Rashid Nakhle street Birak park street Barouk al,Open until 3:00 AM,,
restaurant simon,4.1,(23),Restaurant,,Opens at 12:30 PM,Closed,
Palais Des Cedres Hotel,4.6,(90),4-star hotel,,Open until 11:30 PM,,
Walid Moubayed Restaurant,4.8,(5),Restaurant,,Open until 12:00 AM,,
مطعم ديوان بيت جدي,3.7,(49),Restaurant,,Open until 1:00 AM,Closed,
PizzaWay,3.6,(19),Restaurant,baakline -Al,Open until 12:00 AM,,
Al Nabulsi Butcher And Restaurant,4.3,(162),Restaurant,,Opens at 7:30 AM,Closed,
Chalalate - Restaurant,4.3,(13),Restaurant,,Open until 12:00 AM,,
Al Wadi - Restaurant,4.1,(12),Restaurant,,Open until 12:00 AM,,
Rawabi Al Amir - Restaurant,4.2,(9),Restaurant,,Open until 12:00 AM,,
al jawzet restaurant,5.0,(1),Restaurant,Unnamed Road,Open until 1:00 AM,Closed today,
Al Aarabi - Restaurant,3.8,(81),Restaurant,,Open until 12:00 AM,,
Al Jiser - Restaurant,3.9,(39),Restaurant,,Opens at 8:00 AM,Closed,
Diarna Al Khadra - Restaurant,3.9,(14),Lebanese,,Closing soon: 11:00 PM,Closed,
الميدان,4.5,(19),Restaurant,main street,Opens at 9:00 AM,Closed,
Al Hawr Restaurant,5.0,(1),Restaurant,Unnamed Road,Open until 12:00 AM,Closed,
Jiyeh Marina Resort Hotel & Chalets,4.3,(712),5-star hotel,,Opens at 10:00 AM,Closed,
Em Boutros Le Restaurant,4.2,(38),Restaurant,,Opens at 8:00 AM,Closed,
Shake & BAKE,4.2,(89),Restaurant,,Opens at 9:15 AM,Closed,
Wadi Al Laymoun - Restaurant,3.9,(27),Restaurant,,Opens at 12:00 PM,Closed,
Yazoo - Restaurant,2.8,(4),Restaurant,,Open until 3:00 AM,,
Grills Restaurant,4.3,(20),Restaurant,Unnamed Road,Opens at 12:30 PM,Closed,
Aal ain restaurant,4.6,(90),Restaurant,Unnamed Road,Open until 11:30 PM,,
The Palm Restaurant And Park,4.0,(16),Restaurant,,Opens at 10:00 AM,Closed,
Nohra restaurant ( istira7et Nohra),4.2,(14),Restaurant,,Open until 1:00 AM,Closed,
la Perla Restaurant,4.0,(3),Restaurant,Unnamed Road,Open until 12:00 AM,,
Home Restaurant,5.0,(3),Restaurant,El Bnaïyé -- Kfarmatta Main Street El Bnaïyé,Opens at 7:30 AM,Closed,
Nay restaurant,3.0,(1),Restaurant,Unnamed Road,Open until 12:00 AM,,
Al Kamal Restaurant,4.1,(12),Restaurant,Unnamed Road,Open until 12:00 AM,,
Aquaponds,5.0,(4),Restaurant,,Opens at 10:00 AM,Closed,
Al-jaisrein Cafe - Restaurant,4.0,(3),Restaurant,,Open until 1:00 AM,Closed today,
مطعم تلال جون,3.0,(1),Restaurant,,Open until 12:00 AM,,
Alsheikh Restaurant مطعم الشيخ,5.0,(1),Restaurant,al owaly river,Opens at 8:00 AM,Closed,
Restaurant - Mghaire,3.7,(6),Restaurant,,Closing soon: 11:00 PM,Closed,
Chocosajj Restaurant,4.7,(3),Restaurant,,Opens at 9:00 AM,Closed,
Al Jarouj Al Sakhry - Restaurant,5.0,(1),Restaurant,,Open until 12:00 AM,Closed,
Restaurant - Fraidiss,5.0,(1),Restaurant,,Opens at 10:00 AM,Closed,
Fluka Restaurant,4.7,(7),Seafood,,Open until 12:00 AM,Closed,
Al Jazeera Restaurant,4.2,(89),Restaurant,,Opens at 9:15 AM,Closed,
Al Naim Restaurant,5.0,(1),Restaurant,,Opens at 12:00 PM,Closed,
La Lune Salle & Restaurant,1.0,(1),Restaurant,,Open until 3:00 AM,,
مطعم ومسمكة كالامار - Fish Market and Restaurant Calamar,1.0,(1),Restaurant,,Opens at 12:30 PM,Closed,
Aklet Samak - أكلة سمك,4.3,(4),Seafood,,Open until 2:00 AM,,
3oud Restaurant,4.0,(4),Restaurant,,Opens at 10:00 AM,Closed,
Al Ghabat Restaurant,3.3,(9),Restaurant,,Open until 1:00 AM,Closed,
Farah Restaurant - Restaurant,3.6,(9),Restaurant,,Open until 12:00 AM,,
Caviar Restaurant & Café,3.0,(5),Restaurant,,Opens at 7:30 AM,Closed,
Palazo Restaurant,3.0,(1),Restaurant,,Open until 12:00 AM,,
Abo ElHen Restaurant,4.1,(12),Restaurant,,Open until 12:00 AM,,
Walima Catering,3.0,(1),Restaurant,,Opens at 10:00 AM,Closed,
El chark restaurant,4.0,(3),Restaurant,,Open until 1:00 AM,Closed today,
callisto restaurant,3.6,(7),Restaurant,,Open until 12:00 AM,,
Al Mokhtar Restaurant,4.5,"(1,095)",Lebanese,Jensnaya main road,Open until 3:30 AM,Closed,
Marina Fish Restaurant,3.5,(2),Restaurant,Marina Resort,Closing soon: 11:00 PM,Closed,
Grand View restaurant,4.3,(8),Restaurant,Unnamed Road,Opens at 9:00 AM,Closed,
Hallak restaurant,5.0,(1),Restaurant,,Open until 12:00 AM,Closed,
Bisan Restaurant,4.3,(4),Restaurant,,Opens at 10:00 AM,Closed,
Chebli restaurant,2.5,(2),Restaurant,,Open until 12:00 AM,Closed,
Diamond Lake Restaurant,5.0,(1),Restaurant,,Opens at 9:15 AM,Closed,
Rateb restaurant,4.0,(1),Restaurant,,Opens at 6:00 AM,Closed,
Al Ameer Ahmad Restaurant,1.0,(1),Restaurant,,Open until 3:00 AM,,
Al Jawal - Restaurant,4.2,(5),Restaurant,,Opens at 12:30 PM,Closed,
Wala atyab restaurant-مطعم ولا أطيب,4.3,(4),Restaurant,,Open until 2:00 AM,,
Zahr-alaymoun restaurant,4.3,(3),Restaurant,,Opens at 10:00 AM,Closed,
Maman Restaurant,3.8,(31),Restaurant,مدرسه مرجان، شارع المفتي جانب,Opens at 9:00 AM,Closed,
Al-delghana - Restaurant,4.0,(1),Restaurant,,Open until 12:00 AM,,
Al Midan - Restaurant,3.8,(68),Restaurant,,Opens at 10:00 AM,Closed,
Al Safa Al Kabir - Restaurant,3.8,(8),Restaurant,,Open until 12:00 AM,,
Al kamal restaurant,4.1,(12),Restaurant,,Open until 12:00 AM,,
Al Nahraine - Restaurant,3.8,(104),Restaurant,,Opens at 10:00 AM,Closed,
Al Jawz - Restaurant,3.0,(2),Restaurant,,Open until 1:00 AM,Closed today,
Raya Restaurant,5.0,(1),Restaurant,,Open until 12:00 AM,,
Shams W Qamar Restaurant,3.7,(45),Restaurant,,Open until 3:30 AM,Closed,
Mais El Rim Restaurant,3.9,(42),Restaurant,,Opens at 10:00 AM,Closed,
La Vasa Restaurant,4.0,(1),Restaurant,Jezzine Street,Opens at 9:00 AM,Closed,
Nhar w Layl Restaurant,5.0,(1),Restaurant,Unnamed Road,Open until 12:00 AM,Closed,
Halal Restaurant and Park,4.3,(4),Restaurant,,Opens at 10:00 AM,Closed,
Spring's Restaurant (Home Of Sandwiches),3.7,(9),Restaurant,,Open until 11:30 PM,Closed,
Neama Restaurant,3.7,(81),Restaurant,"Daraiya,",Opens at 9:15 AM,Closed,
Munchease,4.4,"(1,928)",Fast Food,Khaldeh highway heading south Chouaifet El Qoubbeh,Open until 12:00 AM,Closed,
Dimasi - Restaurant,3.7,(3),Restaurant,,Open until 3:00 AM,,
19 Restaurant-khalde,4.3,(313),Restaurant,,Open until 12:00 AM,Closed,
Restaurant El Jawzeh,3.5,(17),Restaurant,Unnamed Road,Opens at 9:00 AM,Closed,
Ras Al Nabeaa - Restaurant,3.3,(4),Restaurant,,Opens at 10:00 AM,Closed,
Restaurant and Break-Yamani,3.7,(71),Restaurant,الطريق العام,Opens at 10:00 AM,Closed,
Arwad Restaurant,4.3,(392),Seafood,خلدا الخط البحري,Open until 1:00 AM,,
Al Safaa Al Jadid - Restaurant,3.6,(20),Restaurant,,Opens at 6:00 AM,Closed,
Restaurant Mhanna,3.8,(8),Restaurant,Damour - Beit Ed Dine Rd,Open until 12:00 AM,,
Sage Al Amira - Restaurant,3.6,(10),Restaurant,,Opens at 8:00 AM,Closed,
Al Sakhra Restaurant - Cliff House,4.3,(259),Restaurant,"33°46'36.6""N 35°32'44.1""E",Opens at 10:00 AM,Temporarily closed,
Restaurant Em Fares,4.3,(4),Lebanese,Barouk - Joub Jannine Rd,Open until 1:00 AM,Closed today,
Loulou restaurant,5.0,(11),Restaurant,,Open until 12:00 AM,,
"Janna's Wedding Venues- Damour, Lebanon",4.0,(144),Hotel,Damour Sea Shore Damour,Open until 3:30 AM,Closed,
Cosmos,4.3,(555),Restaurant,"Main Road, Inside Maket Place MP",Open until 1:00 AM,Closed,
Pies Restaurant,3.9,(7),Pancake,,Opens at 9:00 AM,Closed,
Mahmoud Mohsen Restaurant,4.3,(3),Breakfast,,Open until 12:00 AM,Closed,
Hardee's,3.9,(38),Fast Food,Khalde Highway,Closing soon: 11:00 PM,Closed,
Paradise Baakline,3.1,(153),Restaurant,Baakline River Road,Open until 11:30 PM,Closed,
Thoulouj Restaurant,4.3,(11),Restaurant,,Open until 12:00 AM,Closed,
Sayah Hassoun,4.1,(51),Seafood,,Opens at 11:00 AM,Closed,
Jay’s Diner Burgers,4.6,(164),Restaurant,,Open until 12:00 AM,,
restaurant Halim,4.3,(103),Restaurant,,Closing soon: 11:00 PM,Closed,
Burger King,3.3,(7),Fast Food,The Spot,Opens at 9:00 AM,Closed,
Pizza Hiba,4.1,(219),Restaurant,,Opens at 10:00 AM,Closed,
Raising Cane's Spot,4.4,(100),Restaurant,,Open until 12:00 AM,Closed,
Maria Restaurant,4.5,(13),Restaurant,,Open until 1:00 AM,,
"Burger King, Saida",4.2,(29),Fast Food,Old Saida Road The Spot Choueifat,Open until 12:00 AM,Closed,
Kfc - Quobbeh - Restaurant,3.6,(295),Restaurant,,Open until 2:00 AM,,
Karawan Restaurant,4.1,(290),Restaurant,,Open until 12:00 AM,Closed,
Al Innab Restaurant,4.1,(181),Restaurant,,Opens at 10:00 AM,Temporarily closed,
Triangle Zone,4.1,(19),Restaurant,,Open until 1:00 AM,Temporarily closed,
HFC Restaurant,4.0,(51),Restaurant,الضاحية البركات مدخل مدينة العباس,Open until 12:00 AM,,
Just Fajita,4.1,(141),Restaurant,,Open until 2:00 AM,Closed,
The All American,4.2,(226),Restaurant,,Open until 11:30 PM,Closed,
Em Sherif,4.5,"(1,061)",Restaurant,,Open until 2:00 AM,Closed,
"Nour (Նուռ), Fine Armenian Cuisine",4.6,(157),Restaurant,2038 Abdul Wahab El Inglizi,Open until 12:00 AM,Closed,
Pacifico,4.4,(675),Mexican,,Open until 2:00 AM,Closed,
Brassica Restaurant,4.4,(167),Restaurant,,Open until 12:00 AM,Closed,
ASH by Eddy Diab,4.5,(132),Restaurant,,Open until 12:30 AM,Closed,
"Bartartine - The Backyard, Hazmieh",4.4,(358),Restaurant,Said Freiha street,Closing soon: 11:00 PM,Closed,
Artist Restaurant,4.7,(54),Restaurant,,Open until 12:00 AM,,
The BBQ House,4.3,(673),Restaurant,Chiyah، Old Saida Rd,Open until 1:30 AM,Closed,
Abdel Wahab,4.4,(599),Restaurant,الناصرة,Open until 11:59 PM,Closed,
Restaurant L'Os,4.4,(942),Lebanese,Rue principale,Open until 12:00 AM,Closed,
Lily's,4.4,(313),Restaurant,François Al Hajj Street,Open until 11:30 PM,Closed,
Liza,4.4,(564),Restaurant,,Open until 11:30 PM,,
Cocteau Restaurant,4.5,(213),Restaurant,,Closing soon: 11:00 PM,Closed,
Sawani Falfoul,4.5,(288),Restaurant,George Catroux,Open until 2:00 AM,,
Sapa Beirut,4.4,(472),Peruvian,,Open until 1:00 AM,Closed,
Loris Restaurant,4.5,"(1,409)",Lebanese,Pasteur street,Open until 1:30 AM,Temporarily closed,
Bridge Restaurant مطعم بريدج,3.8,(317),Restaurant,,Open until 11:59 PM,Temporarily closed,
Le Phoenicien,4.5,(201),Restaurant,شارع تابت,Closing soon: 11:00 PM,,
Ritage by Maroun Chedid,4.5,(313),Restaurant,Lebanon Street، Street 61,Open until 12:00 AM,Closed,
Indigo on the Roof,4.4,(82),Restaurant,Le Gray Hotel Martyrs Square,Open until 11:30 PM,Closed,
East village,4.3,(323),Restaurant,,Open until 2:00 AM,Closed,
Tawlet Ammiq,4.4,(368),Lebanese,Tawlet,Open until 12:00 AM,Closed,
Pick a Poke Beirut,4.8,(158),Hawaiian,Abdel Wahab Street,Open until 12:00 AM,Closed,
Em Sherif Cafe,4.5,"(1,143)",Lebanese,,Open until 3:00 AM,Closed,
Meat the Fish,4.3,(287),Restaurant,Saifi Village,Closing soon: 11:00 PM,Closed,
Couqley French Bistro _ Gemmayze,4.5,(709),French,Gouraud,Closing soon: 11:00 PM,Closed,
Bartartine - Restos St. Nicolas,4.4,(468),Restaurant,Charles Malek,Open until 12:00 AM,,
Jaï Asian restaurant,4.6,(476),Thai,,Closing soon: 11:00 PM,Closed,
GET GRILLED,4.5,(294),Modern Indian restaurant,,Closing soon: 11:00 PM,Closed,
Azul Lounge - Restaurant,4.2,(116),Restaurant,Monot,Open until 12:00 AM,Closed,
Mr. Steak,4.4,(34),Restaurant,,Open until 12:00 AM,Closed,
Rossini Osteria e Caffè - Phoenicia Hotel,4.3,(47),Italian,Phoenicia Hotel,Open until 12:00 AM,,
T-Marbouta,4.5,"(1,980)",Lebanese,"HAMRA SQUARE, GROUND FLOOR",Open until 1:00 AM,Closed,
East Village Neighborhood Eatery,4.5,(116),Restaurant,George Naccash,Open until 12:00 AM,,
Ginger&Co,4.4,(665),Japanese,,Open until 11:30 PM,Closed,
Al Falamanki Sodeco,4.0,"(1,680)",Lebanese,,Open until 1:30 AM,Temporarily closed,
Ahwak,4.3,(371),Restaurant,,Open until 12:00 AM,Temporarily closed,
Le Pichet,4.3,(192),Restaurant,Mar Roukoz Street,Open until 12:00 AM,,
Manuccini's,4.7,(40),Restaurant,"Chehade Street, Dakdouk Building",Open until 12:00 AM,Closed,
Skirt,4.3,(147),Restaurant,Abdel Hamid Ghandour Street,Closing soon: 11:00 PM,Closed,
SUD Restobar,4.4,(506),Restaurant,"Armenia Street, Facing Manar Gas Station",Open until 2:00 AM,Closed,
Babel,4.5,(760),Restaurant,,Open until 12:00 AM,Closed,
Duo - Restaurant,4.0,(38),Restaurant,,Open until 12:30 AM,Closed,
Divvy,4.4,(165),Restaurant,,Open until 12:00 AM,Closed,
Café Em Nazih,4.4,"(2,722)",Lebanese,Pasteur st. (behind Coral station، Gouraud,Open until 4:00 AM,Closed,
Salon Beyrouth,4.5,(477),Restaurant,,Open until 2:00 AM,Closed,
Mayrig Beirut,4.5,(833),Armenian,"282 Pasteur Street, Mansour Building",Open until 12:00 AM,Temporarily closed,
Kampaï,4.5,(790),Sushi,Palladium Building,Open until 11:30 PM,Closed,
Al Saha Restaurant,4.1,"(1,125)",Lebanese,,Open until 2:00 AM,Closed,
Restaurant UMMI,4.3,(308),Lebanese,,Open until 12:00 AM,Closed,
The Bros,4.6,(730),Restaurant,Madrid,Open until 2:00 AM,Closed,
DIVVY,4.5,(631),Restaurant,,Open until 12:00 AM,Temporarily closed,
Almayass Beirut,4.4,(144),Restaurant,Trabaud Street,Open until 11:30 PM,Closed,
L'Autre Bistro,4.6,(152),French steakhouse restaurant,"Makhoul Street Secteur 34, Rue 77 El",Closing soon: 11:00 PM,,
Margherita Pizzeria,4.5,(83),Italian,,Open until 12:00 AM,Closed,
Mounir,4.4,"(2,544)",Lebanese,El Metn,Open until 12:00 AM,Temporarily closed,
Bartartine- Mar Mkhayel,4.4,(377),Restaurant,Armenia,Closing soon: 11:00 PM,Temporarily closed,
Abu Naim,4.4,(308),Lebanese,"Abdel Aziz St., Hamra, Facing Piccadilly Theatre",Open until 1:00 AM,,
الكرمة - Al Karmah,3.8,(50),Restaurant,,Open until 2:00 AM,Closed,
Mini Guette,4.3,(237),Restaurant,,Open until 1:00 AM,Closed,
La Nonina Pizzeria,4.3,(197),Pizza,52,Open until 11:30 PM,Closed,
Tavolina,4.4,(731),Italian,Mar Mikhael,Open until 12:00 AM,Temporarily closed,
El Denye Hek,4.3,(926),Lebanese,Armenia street,Open until 1:00 AM,Closed,
"Bartartine - Dunes, Verdun",4.4,(140),Restaurant,"Dunes, Verdun Street",Closing soon: 11:00 PM,Closed,
Ahwak Café City centre,4.3,(199),Restaurant,Hazmieh Beirut,Open until 12:00 AM,Closed,
Bedivere Eatery and Tavern,4.5,(420),Traditional restaurant,"Makdissi Building, GF, Jeanne Darc",Open until 1:00 AM,Closed,
Appetito Trattoria Hamra,4.4,(366),Italian,,Open until 12:00 AM,Temporarily closed,
Enab Restaurant,4.2,(979),Lebanese,,Open until 1:00 AM,Closed,
Slate,4.4,(212),Restaurant,Madrid Street,Open until 11:30 PM,Closed,
CHOPSTICKS,4.0,(432),Chinese,,Open until 12:00 AM,Closed,
Basterma Mano,4.6,"(1,132)",Restaurant,,Open until 2:00 AM,Closed,
Le Chef,4.4,(294),Restaurant,,Open until 12:00 AM,Temporarily closed,
Barbar احلى شاورما ومناقيش,4.1,"(3,534)",Restaurant,Hamra - PIccadilly Street,Open until 11:30 PM,Closed,
Cabana,4.0,(65),Restaurant,,Open until 1:00 AM,,
Smoking Bun,4.4,(281),Hamburger,,Open until 3:00 AM,Closed,
Agha,3.9,"(1,455)",Lebanese,Bechara El Khoury,Open until 12:00 AM,Temporarily closed,
La Gargotte,4.4,(104),Restaurant,Bet Mery,Open until 12:00 AM,Temporarily closed,
Restaurant - Aley,4.0,(42),Restaurant,,Open until 1:00 AM,,
"Chopsticks, Sin el Fil",4.2,(293),Restaurant,Charles de Gaulle St,Open until 12:00 AM,Closed,
Roadster Diner,4.3,(408),Restaurant,Zaytounay Bay,Open until 1:00 AM,Closed,
Hemingway's Bar & Lounge,4.1,(25),Restaurant,2038,Open until 11:30 PM,Closed,
Place de l'Etoile,4.0,(271),Restaurant,,Open until 12:00 AM,Temporarily closed,
Falafel M. Sahyoun,4.3,(664),Falafel,,Open until 11:30 PM,Closed,
HOLLYFOOD American Restaurant,4.1,(42),Restaurant,,Open until 1:30 AM,Closed,
Casablanca,4.4,(175),Mediterranean,"Rue Dar el Mreisseh, Ain el Mreisseh Qaddoura Bldg 2nd Floor",Closing soon: 11:00 PM,Closed,
Le Gourmet Burger Hamra,4.3,(114),Hamburger,"Bashour Buidling, Emile Edde Street, Toast Food Court",Open until 1:00 AM,Closed,
Sako,4.5,(44),Fast Food,Armenia street، El naher,Closing soon: 11:00 PM,Temporarily closed,
Nasma City Centre Beirut,4.1,(274),Lebanese,Elias El Hrawi,Open until 12:00 AM,Closed,
Clap Beirut Restaurant,4.5,(223),Japanese,"Martyr’s Square, Annahar Bldg, 8th Floor",Open until 2:00 AM,Closed,
Chopsticks,4.2,(339),Chinese,Mirna Chalouhi,Open until 12:00 AM,Closed,
Bou Melhem,4.2,"(1,046)",Lebanese,Sin El Fil Dimitri El Hayek Street Sin El Fil,Open until 12:00 AM,Closed,
Crepaway,4.5,(336),Restaurant,,Open until 12:00 AM,Temporarily closed,
The Grill,4.4,(135),Steak,1418 Professor Wafic Sinno Avenue Beirut,Open until 12:00 AM,Closed,
Republic Cafe & Restaurant,4.0,(839),Restaurant,Zalka Road,Open until 2:00 AM,,
BeBabel Restaurant,4.5,(398),Restaurant,Minet El Hosn,Open until 12:00 AM,Closed,
Kasr Fakhreddine - Restaurant,4.3,(803),Lebanese,,Open until 12:00 AM,Temporarily closed,
Tabliyit Massaad,4.2,(645),Lebanese,Gouraud Street,Open until 12:00 AM,Temporarily closed,
Le Jardin Bab Sharqi,4.3,(161),Middle Eastern,,Open until 1:30 AM,,
Spiced and sliced,4.4,(54),Restaurant,,Open until 1:00 AM,Closed,
Kababji,4.1,(327),Restaurant,Hamra,Open until 12:00 AM,Closed,
Abou Joseph - Restaurant,4.4,(417),Restaurant,,Open until 12:00 AM,Closed,
Buffalo Wings & Rings Ashrafieh,4.3,(240),Restaurant,Charles Malek Avenue Feyez Moukarzel Building Ground Floor Near Sagesse school Ashrafieh Beirut,Open until 12:00 AM,Temporarily closed,
Shahla Restaurant,3.6,(8),Restaurant,,Open until 11:30 PM,Closed,
Cozmo Café,4.1,(315),Restaurant,"ABC Ashrafieh, Level 3, Furn El Hayek Street",Open until 12:00 AM,Closed,
SEGREDO RESTAURANT,4.3,(35),Restaurant,Jal El Dib Main Rd,Open until 12:00 AM,Closed,
KFC,4.3,(114),Chicken,,Open until 3:00 AM,Closed,
Zein Chicken,4.2,(123),Chicken,,Open until 12:00 AM,Temporarily closed,
Couqley French Bistro _ Broumana,4.2,(68),Restaurant,Broumana High Street,Closing soon: 11:00 PM,Closed,
French Brasserie,4.2,(62),Restaurant,,Open until 12:00 AM,Closed,
Chahara Restaurant,4.2,(446),Lebanese,,Open until 12:00 AM,Closed,
Beyt SAHEBNA,4.4,(202),Restaurant,Byblos bank street,Open until 1:00 AM,Closed,
Tsunami,4.5,(381),Sushi,,Open until 12:00 AM,Temporarily closed,
Olio & Soto - Hamra,4.3,(11),Restaurant,Abdel A'aal Street,Open until 12:00 AM,Closed,
Batchig,4.3,(511),Armenian,Kassis street,Open until 1:00 AM,,
Villa Clara,4.3,(162),French,"Rue Kenchaara, Ashrafieh , Mar Mkhayel",Open until 11:30 PM,Closed,
Al Halabi Restaurant,4.5,(716),Lebanese,,Open until 12:00 AM,Temporarily closed,
Square Café,4.0,(86),Lebanese,,Open until 2:00 AM,Temporarily closed,
Alma Beirut,4.9,(20),Restaurant,"Bossa Nova Beirut Hotel, Riverside, Charles Helou Street",Closing soon: 10:30 PM,,
Amarilla Restaurant Club,4.2,(239),Restaurant,Sea Side Rd,Open until 2:00 AM,Closed,
Uptown Beirut,4.3,(764),Lebanese,Main Street,Open until 12:00 AM,Closed,
Hardee's,2.8,(8),Fast Food,Beirut International Exhibition & Leisure Center,Closing soon: 11:00 PM,Closed,
Mini guette,4.2,(62),Restaurant,,Open until 12:00 AM,Temporarily closed,
Swiss time cafe,3.7,(296),Restaurant,,Open until 3:00 AM,Closed,
Keif,4.0,(325),Restaurant,Antelias,Open until 12:00 AM,Closed,
MÉTROPOLE,4.4,(507),Brasserie,"Karagulla Bldg, Minet el Hosn, 24 Park Avenue",Open until 11:30 PM,Closed,
Crepaway Zalqa,4.4,(422),Restaurant,,Open until 12:00 AM,Closed,
Q resto pub,4.2,(123),Restaurant,,Open until 12:00 AM,Closed today,
Zaituna Bay,4.5,"(8,686)",Restaurant,"Beirut Marina, طريق ميناء الحصن",Open until 12:00 AM,Closed,
Burgundy Restaurant,4.4,(70),Restaurant,,Closing soon: 10:30 PM,Closed,
Stem Beirut,4.4,(224),Restaurant,38 Monot Street,Open until 12:00 AM,Closed,
Chopsticks,4.2,(13),Restaurant,,Open until 12:00 AM,Closed,
Green's Cafe,4.0,(97),Restaurant,,Open until 12:00 AM,Temporarily closed,
Bergerac Le Café des Lettres,4.6,(140),French steakhouse restaurant,"Consulat de France, Espace des lettres, Damascus",Open until 12:00 AM,Closed today,
Grill By Pouce Vert,4.8,(9),Restaurant,,Open until 1:00 AM,,
SteakBarSushi,4.6,(706),Grill,Main Naqqache road,Open until 1:00 AM,Closed,
Mosaic Restaurant,4.6,(128),Restaurant,Phoenicia Hotel، Minet El Hosn,Opens at 7:00 AM,Closed,
Divvy ABC Verdun,4.6,(14),Restaurant,"ABC Verdun, Level 4, Verdun, Beirut District",Open until 2:00 AM,Temporarily closed,
L'Atelier,4.4,(43),Restaurant,,Opens at 8:00 AM,Closed,
شاورما ابو العز- Abul3ezz Salim Salam,5.0,(1),Restaurant,شارع حكمت جنبلاط،,Open until 2:00 AM,Temporarily closed,
Restaurant Joseph,4.4,"(1,437)",Restaurant,El Saydeh,Open until 12:00 AM,Closed,
Kahwet Maalem Artin,4.4,(370),Restaurant,,Closing soon: 11:00 PM,Closed,
The Barn,4.5,(264),Health Food,,Opens at 8:00 AM,Closed,
Bartartine - ABC Ashrafieh,4.4,(97),Restaurant,ABC Ashrafieh، Furn El Hayek Street,Opens at 10:00 AM,Closed,
Grey Salt,4.5,(17),Restaurant,baydar street,Open until 12:00 AM,Closed,
Zahraa Chicken,3.6,(48),Restaurant,بيروت طريق المطار برج البراجنة,Open until 11:30 PM,Closed,
BARON,4.4,(303),Restaurant,Pharaon Street Building 125,Open until 12:00 AM,Closed,
Abou Ahmad Restaurant,4.7,(23),Restaurant,,Opens at 7:00 AM,Closed,
Restaurant Chez Jean Claude,4.2,(39),Restaurant,,Open until 12:00 AM,Closed,
The Gathering,4.2,(273),Restaurant,,Closing soon: 10:30 PM,Temporarily closed,
Community Badaro,4.4,(160),Bar,,Open until 2:00 AM,Closed,
Mum & I,4.2,(120),Lebanese,National Museum of,Open until 12:00 AM,Closed today,
Chopsticks,4.2,(559),Restaurant,,Open until 12:00 AM,Temporarily closed,
Anthony's,4.6,(464),Restaurant,,Open until 12:00 AM,Closed today,
Numero Six,4.1,(104),Restaurant,,Open until 1:00 AM,Closed today,
The Happy Prince,4.5,(220),Restaurant,Alexander Fleming,Open until 1:00 AM,Temporarily closed,
Tawlet Souk el Tayeb,4.6,(18),Restaurant,Building No. 22,Opens at 7:00 AM,Closed today,
Parcours des saveurs,4.3,(169),Agricultural service,Lecico street,Open until 2:00 AM,Temporarily closed,
Abul3ezz Dekweneh - شاورما ابو العز,4.3,(522),Restaurant,Blvd. Chakhtura Dekwaneh,Opens at 11:00 AM,Closed,
Mayha,4.7,(41),Japanese,"Pharaon Street, Facing Liwan Beirut, Mar Mikhael",Open until 2:00 AM,Temporarily closed,
Gemmayze restaurant,5.0,(1),Restaurant,,Open until 12:00 AM,Closed,
Al Walid Foul Restaurant,4.1,(57),Restaurant,,Opens at 7:00 AM,Closed,
Lina's,4.2,(344),Restaurant,,Open until 12:00 AM,Closed,
Mondo restaurant,4.0,(2),Restaurant,,Opens at 10:00 AM,Closed,
