section-result-title,cards-rating-score,section-result-num-ratings,section-result-details,section-result-location,section-result-info,section-result-info 2,Unnamed: 7
Al Ajami - Restaurant,4.3,-207,Lebanese,,Open until 12:00 AM,,
Zaatar w Zeit,4.3,-310,Lebanese,,Open until 11:30 PM,,
Pacifico,4.4,-675,Mexican,,Open until 2:00 AM,,
Bedivere Eatery and Tavern,4.5,-420,Traditional restaurant,Beirut,Open until 1:00 AM,,
Abdel Wahab,4.2,-468,Lebanese,Beirut,Open until 12:00 AM,,
Kababji,4.1,-108,Lebanese,Beirut,Open until 12:00 AM,,
Mayrig Beirut,4.5,-833,Armenian,Beirut,Open until 4:00 AM,Temporarily closed,
Leila Min Lebnen,3.5,-25,Lebanese,Beirut,Open until 12:00 AM,,
Fouad Khalil restaurant,4.5,-224,Lebanese,Unnamed Road,Open until 1:00 AM,,
Republic Cafe & Restaurant,4.0,-839,Restaurant,Zalka Road,Open until 2:00 AM,,
Bayt Em Nazih,4.3,-780,Lebanese,Beirut,Open until 4:00 AM,,
Kababji,4.2,-643,Lebanese,Beirut,Open until 12:00 AM,,
Set El Hesen مطعم ست الحسن,4.2,-372,Lebanese,,Open until 2:00 AM,,
Bartartine- Mar Mkhayel,4.4,-377,Restaurant,Beirut,Closing soon: 11:00 PM,,
Cantina Sociale,4.5,-670,Restaurant,,Open until 1:00 AM,,
Ritage by Maroun Chedid,4.5,-313,Restaurant,Beirut,Open until 12:00 AM,,
Al Falamanki Raouche,4.2,"-1,451",Restaurant,,Open until 1:00 AM,,
Le Canoe,4.5,-755,Seafood,Zouk Mosbeh,Closing soon: 11:00 PM,,
Onno Bistro,4.4,-646,Armenian,,Open until 12:00 AM,,
Tawlet,4.5,-370,Lebanese,Beirut,Open until 1:00 AM,Closed today,
Outdoor Restaurant,4.0,-329,Restaurant,,Open until 2:00 AM,,
Prune,4.0,-113,Restaurant,Beirut,Closing soon: 11:00 PM,,
Casablanca,4.4,-175,Mediterranean,Beirut,Closing soon: 11:00 PM,,
Centrale,4.6,-156,French,Beirut,Open until 12:00 AM,,
Zaatar W Zeit,4.3,-765,Lebanese,,Open until 12:00 AM,,
Restaurant Varouj,4.5,-150,Armenian,,Open until 12:00 AM,,
Esclapio,4.0,-231,Lebanese,Douma,Closing soon: 11:00 PM,Temporarily closed,
Pikasso Forn,4.5,-19,Lebanese,,Open until 12:00 AM,,
Le Jardin Du Royal Restaurant,4.5,-224,Restaurant,"Dbayeh, Le Royal Hotel 5th floor Beirut Lebanon",Open until 11:30 PM,,
La2mouche,4.3,-245,Lebanese,,Open until 12:00 AM,,
River Rock Restaurant,4.0,-55,Restaurant,Bcharry,Open until 12:00 AM,,
Babel Bahr,4.6,"-1,315",Seafood,,Open until 11:30 PM,,
Le Chef,4.4,-294,Restaurant,,Open until 12:00 AM,,
L'Avenue Du Parc,4.5,-441,French,Beirut,Open until 12:00 AM,,
al hindi,4.2,-338,Indian,,Open until 12:00 AM,,
Mikhael Restaurant,4.1,-14,Lebanese,,Open until 12:00 AM,,
Zaatar w Zeit,4.3,-230,Lebanese,Beirut,Open until 12:00 AM,,
Villa Badaro,4.3,-543,Restaurant,Beirut,Closing soon: 11:00 PM,Temporarily closed,
Fawzi Burj Al Hamam - Hamra,4.3,-84,Restaurant,,Open until 12:00 AM,,
Ahwak,4.3,-371,Restaurant,,Open until 12:00 AM,Closed today,
Al Mazar - Restaurant,4.2,-146,Lebanese,,Open until 1:00 AM,,
La Parrilla Summer,4.3,-142,Restaurant,,Open until 2:00 PM,,
Tavolina,4.4,-731,Italian,Beirut,Closing soon: 11:00 PM,Temporarily closed,
Sawani Falfoul,4.5,-288,Restaurant,Beirut,Open until 12:00 AM,,
Chez Pépé,4.2,-214,Lebanese,,Open until 12:00 AM,,
The Grill,4.4,-135,Steak,Beirut,Open until 12:00 AM,,
Barometre,4.4,-88,Restaurant,Beirut,Open until 2:30 AM,Temporarily closed,
Chopsticks,4.2,-339,Chinese,Mirna Chalouhi,Open until 12:00 AM,,
Snack and pizzeria Barbar,4.2,"-1,247",Restaurant,,Open until 11:30 PM,,
Bartartine - Restos St. Nicolas,4.4,-468,Restaurant,Beirut,Open until 12:00 AM,,
DIVVY,4.5,-631,Restaurant,,Open until 12:00 AM,Temporarily closed,
New Indo-Lanka Restaurant,4.1,-86,Restaurant,51M,Closing soon: 11:00 PM,,
Café Badaro,4.3,-354,Restaurant,Beirut,Open until 1:00 AM,,
Manuella,4.4,"-2,433",Restaurant,Jounieh,Open until 2:00 AM,,
La Parrilla,4.5,-72,Restaurant,,Open until 11:30 PM,,
Society Bistro,4.5,"-1,032",Bistro,,Open until 11:30 PM,,
Mhanna Sur Mer,4.4,-576,Restaurant,,Open until 12:00 AM,,
Brooklyn Pizza Spot,4.5,-76,Restaurant,Mansourieh,Open until 2:00 AM,Temporarily closed,
مطعم الشمس عنجر,4.5,"-3,531",Lebanese,Anjar,Open until 1:30 AM,,
Nahawand,3.3,-56,Restaurant,Antelias Rd,Open until 4:00 AM,Closed today,
Locanda A La Granda,4.5,-575,Restaurant,Pepe Abed Street,Open until 12:00 AM,,
Lebanon,4.3,-142,Lebanese,,Open until 2:00 PM,,
The Backyard Hazmieh,4.4,"-3,387",Restaurant,Hazmiyeh,Open until 12:00 AM,Temporarily closed,
Mosaic Restaurant,4.6,-128,Restaurant,Beirut,Opens at 7:00 AM,Closed,
Swiss Butter,4.3,"-1,944",Steak,,Open until 12:00 AM,,
Zone,4.2,-333,Restaurant,,Open until 2:00 AM,,
Noy Restaurant,4.5,-122,Restaurant,,Open until 12:00 AM,Temporarily closed,
Tucano Lebanon,4.7,-60,Restaurant,,Open until 12:00 AM,,
Couqley French Bistro _ Gemmayze,4.5,-709,French,Beirut,Closing soon: 11:00 PM,,
La Nonina Pizzeria,4.3,-197,Pizza,Beirut,Open until 11:30 PM,,
Kampaï,4.5,-790,Sushi,Beirut,Open until 11:30 PM,Temporarily closed,
Al Abdallah,4.3,-623,Lebanese,,Open until 12:00 AM,,
Indigo on the Roof,4.4,-82,Restaurant,Beirut,Open until 11:30 PM,,
Truffled,3.1,-13,Restaurant,district Lebanon,Open until 12:00 AM,,
Lebanese restaurant,4.5,-72,Restaurant,,Open until 11:30 PM,,
ترويقة البلد Tirwiyat al Balad,4.5,-2,Lebanese,,Open until 11:30 PM,,
Burgundy Restaurant,4.4,-70,Restaurant,,Closing soon: 10:30 PM,,
Lily's,4.4,-313,Restaurant,Beirut,Open until 11:30 PM,Temporarily closed,
Outdoor Restaurant,4.1,-355,Restaurant,,Open until 2:00 AM,,
Seray Brasserie Libanaise,4.4,-25,Restaurant,,Open until 1:30 AM,Closed today,
Massaya Zaman Restaurant,4.0,-205,Restaurant,,Open until 4:30 AM,,
Place de l'Etoile,4.0,-271,Restaurant,,Open until 12:00 AM,,
Bartartine - Dbayeh,4.5,"-1,204",Restaurant,Dbayeh Internal Road Dbayeh,Open until 12:00 AM,Temporarily closed,
Al Shams Restaurant,4.5,-220,Restaurant,Aanjar,Open until 1:00 AM,Closed,
