date,year,month,day,new_cases,new_deaths,local,travelers,prev_cases,prev_deaths,total_cases,total_deaths,month_avg_ratio,cumulative_avg_ratio,diff_avg_ratio,simple_ratio
7/11/2020,2020,7,11,86,0,1,0,71,0,2177,47,-0.634976040978189,-0.15170853979871046,-0.24546634761140093,-0.49071923829744885
7/12/2020,2020,7,12,166,0,1,0,86,0,2343,47,-0.2954188697951091,0.532577802277608,-0.8213503364051757,-0.32848369225833435
7/13/2020,2020,7,13,85,0,1,0,166,0,2428,47,-0.6392205056179776,-0.23719155210039677,0.5673513599842192,0.21498690912007518
7/14/2020,2020,7,14,32,1,1,0,85,0,2460,48,-0.864177131526768,-0.5993755716058261,0.30951669514042196,0.1434589242258958
7/15/2020,2020,7,15,91,1,1,0,32,1,2551,49,-0.6137537177792465,-0.09545354989972155,-0.5665596736787849,0.28689783825304505
7/16/2020,2020,7,16,57,2,1,0,91,1,2608,51,-0.7580655155320555,-0.2843205325941902,0.1417841702625412,0.011512857090603165
7/17/2020,2020,7,17,101,0,1,0,57,2,2709,51,-0.5713090713813616,-0.16407583988025154,-0.4347779909498476,-0.3529022659755276
7/18/2020,2020,7,18,75,0,1,0,101,0,2784,51,-0.6816651520158625,-0.3917330297522795,0.07510132904999639,0.33660776919346713
7/19/2020,2020,7,19,84,0,1,0,75,0,2868,51,-0.6434649702577661,-0.3340696698048352,-0.17580138819676794,-0.5262125534950072
7/20/2020,2020,7,20,46,1,1,0,84,0,2914,52,-0.804754626569729,-0.5232038781186624,0.15910780769127553,0.23375336820415282
7/21/2020,2020,7,21,75,0,1,0,46,1,2989,52,-0.6816651520158625,-0.4215652595770284,-0.31503992272742704,-0.37874148042478994
7/22/2020,2020,7,22,124,2,1,0,75,0,3113,54,-0.47368638466622603,0.1526101555468955,-0.4515958182440343,-0.37425988986547637
7/23/2020,2020,7,23,156,0,1,0,124,2,3269,54,-0.33786351619299404,0.11516096125079667,-0.3288256940604156,-0.47451747808381184
7/24/2020,2020,7,24,147,3,1,0,156,0,3416,57,-0.3760636979510905,0.3448082939264492,-0.0513912489147899,0.44198306448663083
7/25/2020,2020,7,25,175,1,1,0,147,3,3591,58,-0.25721868803701264,0.26581219669057243,-0.2997716654219206,-0.32246631795847197
7/26/2020,2020,7,26,168,4,1,0,175,1,3759,62,-0.2869299405155321,0.49340763181646574,-0.06515564077433417,0.3194222539229672
7/27/2020,2020,7,27,132,0,1,0,168,4,3891,62,-0.439730667547918,-0.18581620776691798,0.12846915585949217,0.3593675701378982
7/28/2020,2020,7,28,141,3,1,0,132,0,4032,65,-0.40153048578982153,0.15816368286361904,-0.17099478781338856,-0.5490636476765715
7/29/2020,2020,7,29,182,1,1,0,141,3,4214,66,-0.22750743555849307,0.15544279390697913,-0.3821255260375589,-0.2880287013667898
7/30/2020,2020,7,30,129,2,1,0,182,1,4343,68,-0.4524640614672836,-0.06408376632880575,0.23239187173126558,0.054994696221515066
7/31/2020,2020,7,31,224,2,1,0,129,2,4567,70,-0.04923992068737615,0.41563167464636663,-0.715537538146693,0.16859100095102236
8/1/2020,2020,8,1,175,2,1,0,224,2,4742,72,-0.5873161764705883,0.12097368386371898,0.18701861714412582,0.8845919519733714
8/2/2020,2020,8,2,155,1,1,0,175,2,4897,73,-0.7316176470588236,-0.106546967221268,0.008087207466900073,0.6759153590109367
8/3/2020,2020,8,3,177,3,1,0,155,1,5074,76,-0.4595588235294118,0.18116260520645278,-0.24311278696136748,-0.6930239555544809
8/4/2020,2020,8,4,209,1,1,0,177,3,5283,77,-0.681985294117647,0.10195741163235739,-0.302035518445992,-0.32610131649098534
8/5/2020,2020,8,5,146,2,1,0,209,1,5429,79,-0.6139705882352942,-0.11250040370702474,0.25964980524276843,0.04959934201994416
8/6/2020,2020,8,6,255,2,1,0,146,2,5684,81,-0.5137867647058825,0.35026691575230084,-0.7398959498954991,0.1703551415811213
8/7/2020,2020,8,7,279,0,1,0,255,2,5963,81,-0.7435661764705883,0.20418486032289018,-0.2443737099851621,-0.5373557488278393
8/8/2020,2020,8,8,272,4,1,0,279,0,6235,85,-0.24632352941176483,0.5234529325755504,-0.07321143231884963,0.4591835865132078
8/9/2020,2020,8,9,294,2,1,0,272,4,6529,87,-0.4779411764705882,0.3691490925606904,-0.2331923484355377,-0.27947037112515005
8/10/2020,2020,8,10,295,4,1,0,294,2,6824,91,-0.2251838235294118,0.5147935591418038,-0.11723947289385217,-0.8447403628392047
8/11/2020,2020,8,11,309,7,1,0,295,4,7133,98,0.1654411764705883,0.7738470972491063,-0.18920690019671998,-0.8603097439780126
8/12/2020,2020,8,12,292,2,1,0,309,7,7425,100,-0.47977941176470595,0.22318559782478808,-0.0176563428731093,0.5941319766645584
8/13/2020,2020,8,13,298,3,1,0,292,2,7723,103,-0.34834558823529416,0.29636841227621624,-0.14490347497599226,-0.9238363007570947
8/14/2020,2020,8,14,334,2,1,0,298,3,8057,105,-0.4411764705882353,0.2901688801241784,-0.31141748614675124,-0.17415430669806373
8/15/2020,2020,8,15,397,3,1,0,334,2,8454,108,-0.25735294117647056,0.5310731550176959,-0.45807086127692287,-0.8507370023951231
