section-result-title,section-result-location,category
kahwet beirut,Beirut,restaurant
diwan beirut,,restaurant
loris,Beirut,restaurant
em sherif cafe,,restaurant
enab,,restaurant
al falamanki sodeco,,restaurant
t-marbouta,Beirut,restaurant
café em nazih,Beirut,restaurant
mounir,Broumana,restaurant
em sherif,,restaurant
al halabi,,restaurant
el denye hek,Beirut,restaurant
ummi,,restaurant
3anbar_ عنبر بيروت _ anbar beirut,Beirut,restaurant
jaï asian,,restaurant
abu naim,Beirut,restaurant
bou melhem,Sin El Fil Dimitri El Hayek Street Sin El Fil,restaurant
liza,,restaurant
l'os,Ain Saadeh,restaurant
beirut on the roof,,restaurant
kahwet beirut,Beirut,restaurant
diwan beirut,,restaurant
babel,,restaurant
znoud el sett,"Al Andalus Street, Raouche",restaurant
leilazaitunay bay مطعم ليلى,Zaitunay Bay,restaurant
batchig,Kassis street,restaurant
bay rock cafe,General De Gaulle,restaurant
ksar lebanese diner,"Crossroad, Voie 13",restaurant
babels,Dbayeh Highway,restaurant
feniqia,,restaurant
manuella,معاملتين جونية، Jounieh,restaurant
abdo,,restaurant
la paillote seafood,Ain el Mreisseh,restaurant
lekme al baladi,,restaurant
amar harissa - قمر,,restaurant
maiida barbecue seif,Jounieh -fouad chehab Street - Maiida Barbecue Seif,restaurant
karamna lebaneseكرمنا,Ain Al Mraiseh,restaurant
semsom abc verdun,,restaurant
nasma city centre beirut,Elias El Hrawi,restaurant
al sultan brahim,Beirut Waterfront Down Town,restaurant
karizma,"Biel , Water Front",restaurant
la crêperie,"Kaslik, Jounieh",restaurant
falafel abou andré,,restaurant
abdel wahab,Beirut,restaurant
kahwet azmi,,restaurant
leila min lebnen - zaitunay bay,"Zaitunay Bay, Minet Al Hosn, Beirut, Beirut, Lebanon",restaurant
kasr fakhreddine -,,restaurant
al sultan brahim,,restaurant
adonis,,restaurant
cocteau,,restaurant
tabliyit massaad,Beirut,restaurant
beit karam,Beirut,restaurant
sud restobar,Beirut,restaurant
chili's grill & bar,Beirut,restaurant
al ajami -,,restaurant
zaatar w zeit,,restaurant
pacifico,,restaurant
bedivere eatery and tavern,Beirut,restaurant
abdel wahab,Beirut,restaurant
kababji,Beirut,restaurant
mayrig beirut,Beirut,restaurant
leila min lebnen,Beirut,restaurant
fouad khalil,Unnamed Road,restaurant
republic cafe &,Zalka Road,restaurant
bayt em nazih,Beirut,restaurant
kababji,Beirut,restaurant
set el hesen مطعم ست الحسن,,restaurant
bartartine- mar mkhayel,Beirut,restaurant
cantina sociale,,restaurant
ritage by maroun chedid,Beirut,restaurant
al falamanki raouche,,restaurant
le canoe,Zouk Mosbeh,restaurant
onno bistro,,restaurant
tawlet,Beirut,restaurant
outdoor,,restaurant
prune,Beirut,restaurant
casablanca,Beirut,restaurant
centrale,Beirut,restaurant
zaatar w zeit,,restaurant
varouj,,restaurant
esclapio,Douma,restaurant
pikasso forn,,restaurant
le jardin du royal,"Dbayeh, Le Royal Hotel 5th floor Beirut Lebanon",restaurant
la2mouche,,restaurant
river rock,Bcharry,restaurant
babel bahr,,restaurant
le chef,,restaurant
l'avenue du parc,Beirut,restaurant
al hindi,,restaurant
mikhael,,restaurant
zaatar w zeit,Beirut,restaurant
villa badaro,Beirut,restaurant
fawzi burj al hamam - hamra,,restaurant
ahwak,,restaurant
al mazar -,,restaurant
la parrilla summer,,restaurant
tavolina,Beirut,restaurant
sawani falfoul,Beirut,restaurant
chez pépé,,restaurant
the grill,Beirut,restaurant
barometre,Beirut,restaurant
chopsticks,Mirna Chalouhi,restaurant
snack and pizzeria barbar,,restaurant
bartartine - restos st. nicolas,Beirut,restaurant
divvy,,restaurant
new indo-lanka,51M,restaurant
café badaro,Beirut,restaurant
manuella,Jounieh,restaurant
la parrilla,,restaurant
society bistro,,restaurant
mhanna sur mer,,restaurant
brooklyn pizza spot,Mansourieh,restaurant
مطعم الشمس عنجر,Anjar,restaurant
nahawand,Antelias Rd,restaurant
locanda a la granda,Pepe Abed Street,restaurant
lebanon,,restaurant
the backyard hazmieh,Hazmiyeh,restaurant
mosaic,Beirut,restaurant
swiss butter,,restaurant
zone,,restaurant
noy,,restaurant
tucano lebanon,,restaurant
couqley french bistro _ gemmayze,Beirut,restaurant
la nonina pizzeria,Beirut,restaurant
kampaï,Beirut,restaurant
al abdallah,,restaurant
indigo on the roof,Beirut,restaurant
truffled,district Lebanon,restaurant
lebanese,,restaurant
ترويقة البلد tirwiyat al balad,,restaurant
burgundy,,restaurant
lily's,Beirut,restaurant
outdoor,,restaurant
seray brasserie libanaise,,restaurant
massaya zaman,,restaurant
place de l'etoile,,restaurant
bartartine - dbayeh,Dbayeh Internal Road Dbayeh,restaurant
al shams,Aanjar,restaurant
tallet abou zeid,Zahlé,restaurant
o bois,,restaurant
makan,Beirut,restaurant
beit youssef,Harissa,restaurant
murray,Antelias,restaurant
lala chicken 1967,,restaurant
café libanais,,restaurant
el brimo,Beirut,restaurant
skirt,Beirut,restaurant
seray,Beirut,restaurant
sahebna,Baouchriyeh,restaurant
al zahraa shawarma,,restaurant
"nour (նուռ), fine armenian cuisine",Beirut,restaurant
chopsticks,,restaurant
بيروتي عتيق / beiruti atik,Beirut,restaurant
al saniour seaview,Sahel Aalma,restaurant
al fanar& auberge,,restaurant
brassica,,restaurant
paramount lebanese kitchen,,restaurant
barbar احلى شاورما ومناقيش,Beirut,restaurant
al-karam,,restaurant
l'avo,Beirut,restaurant
casino nmeir,Zahlé,restaurant
dunya,,restaurant
ash by eddy diab,,restaurant
stove& terrace,,restaurant
"bartartine - the backyard, hazmieh","Hazmieh, Baabda district",restaurant
appetito trattoria hamra,,restaurant
fadel,Bikfaiya,restaurant
couqley french bistro _ dbayeh,Beirut,restaurant
osaka sushi lounge,Beirut,restaurant
chopsticks,,restaurant
gavi,,restaurant
bebabel,Beirut,restaurant
-fouad khalil - مطعم فؤاد خليل,,restaurant
resto ghazar,,restaurant
le phoenicien,Beirut,restaurant
dawood basha,,restaurant
boubouffe,,restaurant
métropole,Beirut,restaurant
the beirut cellar,Beirut,restaurant
rossini osteria e caffè - phoenicia hotel,Beirut,restaurant
mum & i,Beirut,restaurant
massaya,,restaurant
punta del este,Jounieh,restaurant
little china,,restaurant
kronfol,"Naqqache,",restaurant
"bartartine - dunes, verdun",Beirut,restaurant
zaituna bay,Beirut,restaurant
hollyfood american,,restaurant
amaleen cafe &,Zahlé,restaurant
inka beirut,Beirut,restaurant
kfc,Jal El Dib,restaurant
hardee's,Beirut,restaurant
jalsat,,restaurant
kronfol - broumana villa,,restaurant
obi urban sushi,Beirut,restaurant
"chopsticks, sin el fil",Charles de Gaulle St,restaurant
mandarine,,restaurant
stone& lounge,Zouk Mkayel,restaurant
sydney's beirut,,restaurant
onno bistro,,restaurant
square cafe sodeco,,restaurant
ahwet zeitouna,"District, Lebanon",restaurant
brgr co.,Beirut,restaurant
balthus,,restaurant
citywalk hazmieh,,restaurant
lamb house,,restaurant
kfc,Hazmiyeh,restaurant
gordon's café,Beirut,restaurant
roadster diner,,restaurant
shah,,restaurant
manuccini's,Achrafieh,restaurant
saj mahal lebanon,,restaurant
the bosta - kaslik,,restaurant
l'autre bistro,Beirut,restaurant
tourist,,restaurant
abou el zouz - lebanese grill,,restaurant
appetito trattoria gemmayzeh,,restaurant
don,Tabaris,restaurant
al delb -,,restaurant
sax,,restaurant
le2metna,,restaurant
casa jose,Beirut,restaurant
captain seafood,Rmayleh,restaurant
am pm,,restaurant
margherita pizzeria,,restaurant
amassi,Jounieh,restaurant
saki saki,Jounieh,restaurant
al mamlaka,Beit Ed Dine - Barouk Rd,restaurant
salata,Beirut,restaurant
al dar,,restaurant
olivo -,,restaurant
le montagnou,Kfardebian,restaurant
al mina,Tabarja,restaurant
chalhoub,,restaurant
yakiniku japanese grill,Beirut,restaurant
jnayne,Annaya,restaurant
el soussi,,restaurant
divvy,Beirut,restaurant
tokyo lebanon,,restaurant
babylone -,,restaurant
joseph,El Saydeh,restaurant
tawlet ammiq,Tawlet,restaurant
la foule,Beirut,restaurant
redstone lebanon,,restaurant
ohannes kebab house,Baouchriyeh,restaurant
baron,Beirut,restaurant
jammal,"Old, Sea Side Rd",restaurant
- aley,,restaurant
numero six,,restaurant
tabliyet masaad sour,,restaurant
tawlet souk el tayeb,Beirut,restaurant
capitole beirut,"Down Town, Beirut",restaurant
onno downtown,,restaurant
kelly's fish lounge,Beirut,restaurant
deli.co,Beirut,restaurant
kahwet maalem artin,,restaurant
papabubble lebanon,,restaurant
bartartine - zaitunay bay,Beirut Central District,restaurant
"feluka, seafood& wine bar 'فلوكة'",Beirut,restaurant
socrat,Beirut,restaurant
stem beirut,Beirut,restaurant
snoubar bakery,,restaurant
3al sate7,Beirut,restaurant
ash beirut,,restaurant
suz' coffee bar,Beirut,restaurant
shallalat al zarqa,,restaurant
leila cafe,,restaurant
papaya -,,restaurant
abul3ezz dekweneh - شاورما ابو العز,Beirut,restaurant
people,,restaurant
joe peña's,,restaurant
foul time,,restaurant
jars & co,,restaurant
hallab 1881 قصر الحلو,Tripoli,restaurant
المختار,,restaurant
abdel wahab,,restaurant
snack hammoudi,Beirut,restaurant
sushi express -,,restaurant
hardee''s,BERUIT LEBANON,restaurant
loris,Beirut,restaurant
em sherif cafe,,restaurant
enab,,restaurant
al falamanki sodeco,,restaurant
