,year,month,MOHAFAZA_ID,MOHAFAZA_AR,MOHAFAZA_EN,Topics,sentiment,tweets,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,date
0,2020,2,1,عكار,Akkar,Healthcare Lebanon | Home Health | Healthcare Staffing | Therapy | #jobs,0.11149282364460934,210,2.0,12.0,3.0,22.0,1.0,2.0,0.0,23.0,2/10/2020
1,2020,2,2,بعلبك - هرمل,Baalbak - Hermel,Medical Center | refugees in Lebanon | Medical Aid | Aid for Palestinians | Health Minister | medical sector | healthcare services,0.041628338407301825,164,10.0,11.0,0.0,24.0,3.0,1.0,0.0,14.0,2/10/2020
2,2020,2,3,بيروت,Beirut,#كورونا #لبنان | Medical Assistant | Medical Center | وزير الصحة | refugees | #coronavirus #كورونا | #Pregnancy #Birth | #Cosmetics #treatment | #center #Pharmaceutical | #Pharmaceutical #products | #products #Cosmetics | #Cosmetics #treatment #lebanon | #center #Pharmaceutical #products | #Lebanon #Pregnancy | medical support | #كورونا #كورونا_لبنان | #treatment #lebanon,0.061561834436095704,893,20.0,55.0,11.0,143.0,28.0,19.0,12.0,67.0,2/10/2020
3,2020,2,4,البقاع,Bekaa,#كورونا #لبنان_ينتفض #لا_داعي_للهلع | corona case | فيروس #كورونا,0.06487792385940536,81,4.0,3.0,1.0,7.0,0.0,0.0,3.0,1.0,2/10/2020
4,2020,2,5,جبل لبنان,Mount Lebanon,#كورونا #لبنان | فيروس #كورونا | #لبنان #كورونا | وزير الصحة | Medical Center | Aid for Palestinians | #Healthcare #Job | وزارة الصحة,0.05182520689821662,810,31.0,43.0,10.0,102.0,22.0,9.0,17.0,57.0,2/10/2020
5,2020,2,6,نبطية,Nabatiyeh,Syrian refugees | school & healthcare | فيروس #كورونا | #كورونا_لبنان #Covid_19 | Medical Center | refugees in Lebanon | الحكومة اللبنانية,0.09291476260027637,118,5.0,9.0,0.0,7.0,4.0,2.0,1.0,19.0,2/10/2020
6,2020,2,7,الشمال,North,Jobs | #Lebanon #Jordan | Dubai Jobs | #Hospital #Doctor,0.06680744436910648,662,25.0,24.0,7.0,59.0,7.0,19.0,5.0,41.0,2/10/2020
7,2020,2,8,الجنوب,South,Medical Camp | Medical Center | refugees in lebanon | provide healthcare | #كورونا_لبنان #سكروا_المدارس,0.05153616471617875,311,15.0,15.0,1.0,70.0,5.0,3.0,4.0,24.0,2/10/2020
8,2020,3,1,عكار,Akkar,Healthcare Lebanon | Therapy | medical services | high paying,0.22671628807518393,1054,41.0,36.0,6.0,99.0,21.0,4.0,15.0,64.0,3/10/2020
9,2020,3,2,بعلبك - هرمل,Baalbak - Hermel,#فيروس_كورونا | #خليك_بالبيت #كورونا_لبنان | #كورونا_لبنان #كورونا | #كورونا_لبنان #كورونا_الجديد | #كورونا #لبنان | #كورونا_لبنان #خليك_بالبيت | #Covid_19 #Lebanon | فيروس كورونا | وزارة الصحة | حظر التجول | cases in #Lebanon,0.05310029609357464,802,38.0,52.0,4.0,93.0,20.0,12.0,11.0,40.0,3/10/2020
10,2020,3,3,بيروت,Beirut,#كورونا #لبنان | #كورونا #كورونا_لبنان | فيروس كورونا | #خليك_بالبيت #كورونا_لبنان | #كورونا #خليك_بالبيت | انتشار | #Covid_19 #Corona,0.06565219572269933,4323,209.0,246.0,40.0,381.0,108.0,48.0,62.0,248.0,3/10/2020
